feature,vif
compet_cells_500,2.298170738005871
compet_n_500,2.119479218956575
log_cells,1.8185610461048525
is_nosang,1.6831083031184402
grade,1.6682388248305502
is_underground,1.4658082902550917
is_manan,1.4539518734654755
is_transfer,1.1422100797003445
open_hours,1.1291433895758574
