ts_kst,parking_id,cell_cnt,park_count,compet_occ_500,compet_n_500,target_occ_pct
2026-09-04 09:45:34+09:00,3,88,88,19.642857142857142,1,100.0
2026-09-04 09:50:33+09:00,3,88,88,19.642857142857142,1,100.0
2026-09-04 09:55:33+09:00,3,88,88,19.642857142857142,1,100.0
2026-09-04 10:00:32+09:00,3,88,88,,0,100.0
2026-09-04 10:05:32+09:00,3,88,88,,0,100.0
2026-09-04 10:10:32+09:00,3,88,88,,0,100.0
2026-09-04 10:15:32+09:00,3,88,88,,0,100.0
2026-09-04 10:20:32+09:00,3,88,88,,0,100.0
2026-09-04 10:25:32+09:00,3,88,88,,0,100.0
2026-09-04 10:30:32+09:00,3,88,88,,0,100.0
2026-09-04 10:35:32+09:00,3,88,88,,0,100.0
2026-09-04 10:40:32+09:00,3,88,88,,0,100.0
2026-09-04 10:45:32+09:00,3,88,88,,0,100.0
2026-09-04 10:50:32+09:00,3,88,88,,0,100.0
2026-09-04 10:55:32+09:00,3,88,88,,0,100.0
2026-09-04 11:00:32+09:00,3,88,88,,0,100.0
2026-09-04 11:05:32+09:00,3,88,88,,0,100.0
2026-09-04 11:10:32+09:00,3,88,88,,0,100.0
2026-09-04 11:15:32+09:00,3,88,88,,0,100.0
2026-09-04 11:20:32+09:00,3,88,88,,0,100.0
2026-09-04 11:25:32+09:00,3,88,88,,0,100.0
2026-09-04 11:30:32+09:00,3,88,88,,0,100.0
2026-09-04 11:35:32+09:00,3,88,88,,0,100.0
2026-09-04 11:40:35+09:00,3,88,88,,0,100.0
2026-09-04 11:45:32+09:00,3,88,88,,0,100.0
2026-09-04 11:50:32+09:00,3,88,88,,0,100.0
2026-09-04 11:55:33+09:00,3,88,88,,0,100.0
2026-09-04 12:00:32+09:00,3,88,88,,0,100.0
2026-09-04 12:05:32+09:00,3,88,88,,0,100.0
2026-09-04 12:10:32+09:00,3,88,88,,0,100.0
2026-09-04 12:15:33+09:00,3,88,88,,0,100.0
2026-09-04 12:20:32+09:00,3,88,88,,0,100.0
2026-09-04 12:25:32+09:00,3,88,88,,0,100.0
2026-09-04 12:30:32+09:00,3,88,88,,0,100.0
2026-09-04 12:35:32+09:00,3,88,88,,0,100.0
2026-09-04 12:40:33+09:00,3,88,88,,0,100.0
2026-09-04 12:45:32+09:00,3,88,88,,0,100.0
2026-09-04 12:50:32+09:00,3,88,88,,0,100.0
2026-09-04 12:55:32+09:00,3,88,88,,0,100.0
2026-09-04 13:00:32+09:00,3,88,88,,0,100.0
2026-09-04 13:05:32+09:00,3,88,88,,0,100.0
2026-09-04 13:10:32+09:00,3,88,88,,0,100.0
2026-09-04 13:15:32+09:00,3,88,88,,0,100.0
2026-09-04 13:20:32+09:00,3,88,88,,0,100.0
2026-09-04 13:25:32+09:00,3,88,88,,0,100.0
2026-09-04 13:30:32+09:00,3,88,88,,0,100.0
2026-09-04 13:35:32+09:00,3,88,88,,0,100.0
2026-09-04 13:40:32+09:00,3,88,88,,0,100.0
2026-09-04 13:45:33+09:00,3,88,88,,0,100.0
2026-09-04 13:50:32+09:00,3,88,88,,0,100.0
2026-09-04 13:55:33+09:00,3,88,88,,0,100.0
2026-09-04 14:00:32+09:00,3,88,88,,0,100.0
2026-09-04 14:05:33+09:00,3,88,88,39.285714285714285,1,100.0
2026-09-04 14:10:32+09:00,3,88,88,37.5,1,100.0
