horizon,n,ml_mae,persistence_mae,improvement_pct,beats_persistence,mae_target_ok,cells
15,83789,2.233105967867028,2.3061574447462294,3.17,True,True,2
30,82498,3.3213276148788324,3.6580858983910916,9.21,True,True,2
60,79921,4.924625218515077,5.959951551018027,17.37,True,True,2
120,75639,7.3245679892478694,10.005971680332152,26.8,True,True,2
