horizon_min,n_pairs,n_lots,mae_pct_point,median_ae_pct_point,p90_ae_pct_point
15,122375,89,1.796953539343309,0.0,5.000000000000002
30,122108,89,2.9449142335147482,0.0,8.333333333333332
60,121574,89,4.945207078476672,0.0,13.333333333333341
120,120506,89,8.535879861342357,1.5625,25.0
