horizon,n,base_rate,brier,brier_persistence,reliability_slope,slope_pass,brier_better_than_persistence
15,219445,0.06883729408279979,0.005721523368437187,0.007395930643213562,0.9811038300339896,True,True
30,215967,0.06610269161492265,0.00830071108126399,0.012589886417832354,0.9630126541420413,True,True
60,209839,0.061056333665333896,0.012025970128644451,0.021802429481650218,0.8872142061387402,False,True
120,198640,0.05625251711639146,0.017423572025747562,0.03967478856222312,0.8789859634054362,False,True
240,176102,0.04859683592463459,0.022587735474253055,0.0641843931357963,0.8229037301763982,False,True
360,152432,0.042576361918757216,0.024552652348371236,0.08511992232602078,0.7282900313374785,False,True
