axis,n,changed,top1_changed,a_fail,b_fail,c_fail,rescued,harmed,a_flagged,extra_walk,extra_fare,changed_rate,top1_changed_rate,a_fail_rate,b_fail_rate,c_fail_rate,harmed_rate,rescue_rate,ai_gain_pp
fare,1249,362,208,218,30,54,188,0,188,3.4971977582065654,0.0,0.2898318654923939,0.16653322658126501,0.1745396317053643,0.02401921537229784,0.04323458767013611,0.0,0.8623853211009175,1.9215372297838271
walk,1249,444,275,261,31,55,230,0,230,3.5508406725380306,-26.821457165732586,0.355484387510008,0.2201761409127302,0.20896717373899118,0.024819855884707767,0.044035228182546036,0.0,0.8812260536398467,1.9215372297838271
