horizon,segment,n,ml_mae,persistence_mae,selected
15,outside|we,18916,1.1338237282169927,1.185401005411409,persistence
30,outside|we,18916,2.028644596946349,1.935872968919558,persistence
60,outside|we,18916,3.291092984976255,3.2731424634386186,persistence
120,outside|we,18916,5.238907649157989,5.632708175481634,ml
