horizon,row_set,model,parking_id,n,ml_mae,evaluable,passes
15,all,g0,169,228,9.290356412658959,True,True
15,all,g0,170,230,7.273559907432331,True,True
15,all,g0,171,230,7.21840324163959,True,True
15,all,g0,172,203,2.576185894721086,True,True
15,all,g0,181,656,1.9340232444240826,True,True
15,all,g0,182,656,2.112369337979094,True,True
15,all,g0,183,656,4.159582467311423,True,True
15,all,g0,201,656,2.567916293533179,True,True
15,all,g0,241,275,8.788108566064981,True,True
15,all,g0,261,273,5.549610262424669,True,True
15,all,g0,262,275,7.148686763141518,True,True
15,all,g0,401,656,3.457535429178134,True,True
15,all,g0,421,656,2.561577356524194,True,True
15,all,g0,441,656,2.81898661038801,True,True
15,all,g0,461,656,3.103801671523943,True,True
15,all,g0,521,656,1.0481183138321677,True,True
15,all,g0,522,656,0.8076061166874363,True,True
30,core,g0,7,610,0.4535743113206158,True,True
30,core,g0,8,1296,2.5461765454348955,True,True
30,core,g0,9,1296,1.925107492663195,True,True
30,core,g0,10,1296,1.7037696074274484,True,True
30,core,g0,11,1296,3.7163860324623235,True,True
30,core,g0,12,1296,1.165972077317392,True,True
30,core,g0,13,1296,2.412258204589895,True,True
30,core,g0,14,201,1.7800633558751358,True,True
30,core,g0,16,1296,1.188413725802132,True,True
30,core,g0,17,1296,1.2867095403053739,True,True
30,core,g0,18,1296,2.213764445135296,True,True
30,core,g0,20,1296,1.8366040186974504,True,True
30,core,g0,21,1296,1.787067326039733,True,True
30,core,g0,22,317,6.469096538806169,True,True
30,core,g0,23,210,2.5214575628508498,True,True
30,core,g0,24,1296,2.266665440534238,True,True
30,core,g0,25,1296,2.818065217513642,True,True
30,core,g0,26,1008,4.453450385359058,True,True
30,core,g0,27,1296,1.482818683597382,True,True
30,core,g0,28,1296,2.5580739860461184,True,True
30,core,g0,29,1296,4.610035221497128,True,True
30,core,g0,30,1296,6.464395531803092,True,True
30,core,g0,31,1296,2.462364975551874,True,True
30,core,g0,33,1296,3.239975660133438,True,True
30,core,g0,34,1296,2.0389951865943847,True,True
30,core,g0,36,1296,1.9551626746126265,True,True
30,core,g0,37,1296,1.2405278828044068,True,True
30,core,g0,38,1296,2.056448552278838,True,True
30,core,g0,39,1296,1.7892436805881138,True,True
30,core,g0,40,1296,3.790775511905039,True,True
30,core,g0,42,1296,2.667837278349201,True,True
30,core,g0,48,590,9.443946007816983,True,True
30,core,g0,52,197,4.240640651093398,True,True
30,core,g0,53,609,4.599506130683965,True,True
30,core,g0,56,327,7.8099996096049225,True,True
30,core,g0,81,1296,3.5626583838604016,True,True
30,core,g0,82,1296,1.2530825590003005,True,True
30,core,g0,106,1296,1.0816751794096149,True,True
30,core,g0,108,1296,1.6337277373252979,True,True
30,core,g0,112,1296,4.08177712762975,True,True
30,core,g0,121,1296,1.628404207387942,True,True
