parking_id,name,horizon,access_group,n,n_lots,n_days,persistence_mae,ml_mae,persistence_rmse,ml_rmse,gain_pp,gain_pct,status
7,안양2동노외,15,accessible,284,1,3,0.07922535211267606,0.07922535211267606,0.4920136835381028,0.4920136835381028,0.0,0.0,tie
7,안양2동노외,30,accessible,266,1,3,0.13157894736842105,0.05244939089863419,0.6855106213838522,0.3489757540773119,0.07912955646978685,60.13846291703801,better
7,안양2동노외,60,accessible,230,1,3,0.21739130434782608,0.21739130434782608,1.0161735558713254,1.0161735558713254,0.0,0.0,tie
7,안양2동노외,120,accessible,158,1,3,0.3322784810126582,0.3322784810126582,1.3042044958857517,1.3042044958857517,0.0,0.0,tie
8,안양4동노외,15,accessible,657,1,3,2.2402010358248288,1.8440407846474998,3.7656314526638153,2.965489769562198,0.396160251177329,17.684138380529994,better
8,안양4동노외,30,accessible,624,1,3,3.678368611254517,2.35948591075533,6.335064213590521,3.7807665081428685,1.318882700499187,35.85509881918492,better
8,안양4동노외,60,accessible,558,1,3,6.440788049361332,3.382502073212717,11.304592752021605,5.5780983799049935,3.0582859761486154,47.48310226497633,better
8,안양4동노외,120,accessible,447,1,3,11.628605318078765,4.551920624831118,19.98142801143298,7.068336044992608,7.076684693247647,60.855833521545904,better
9,예술공원노외,15,accessible,657,1,3,1.718670725520041,1.4368000275280168,2.6441999583143203,2.238242162553042,0.28187069799202424,16.40050614737357,better
9,예술공원노외,30,accessible,624,1,3,2.9504349816849818,2.0626347712292747,4.383878550917522,3.0856612518134106,0.887800210455707,30.090485503554053,better
9,예술공원노외,60,accessible,558,1,3,5.446748591909882,2.9620114192670273,7.84744251135787,4.235233180102009,2.484737172642855,45.61872336706459,better
9,예술공원노외,120,accessible,447,1,3,9.603707254713967,4.003019335585657,14.16368193700249,5.673962773597247,5.60068791912831,58.31797836589843,better
10,인덕원환승,15,accessible,657,1,3,1.266997842340308,1.0791007484191841,2.2838258750553213,1.948336772824882,0.18789709392112397,14.830103701996354,better
10,인덕원환승,30,accessible,624,1,3,2.285855170470555,1.6427964571903448,4.071746167658555,3.1485574472801856,0.6430587132802104,28.13208472642794,better
10,인덕원환승,60,accessible,558,1,3,4.396589074008428,2.876781669076943,7.470258023406459,5.469203316236882,1.5198074049314854,34.56787476264769,better
10,인덕원환승,120,accessible,447,1,3,8.263883767239472,4.44547386733691,12.924458941952718,8.956937682671539,3.818409899902562,46.205997173385846,better
11,일번가노외,15,accessible,657,1,3,2.965730362990637,2.685187849927233,4.64761424532571,4.282335428813712,0.28054251306340383,9.459474690089671,better
11,일번가노외,30,accessible,624,1,3,4.882154882154882,3.882114691739453,7.49787297487708,6.45291979468576,1.0000401904154295,20.48358183126776,better
11,일번가노외,60,accessible,558,1,3,8.203902827558741,5.623736380539937,11.464570307692853,8.60847890794548,2.5801664470188035,31.45047547798163,better
11,일번가노외,120,accessible,447,1,3,11.224097801279006,6.21730897775441,14.348042187166346,8.719531230511777,5.006788823524596,44.60749462601853,better
12,관악역1환승,15,accessible,657,1,3,0.5984502559845029,0.5889076451218225,1.404757952850628,1.3647854120983278,0.009542610862680379,1.5945537272737818,better
12,관악역1환승,30,accessible,624,1,3,1.016171328671329,0.9461323893635818,2.0687132696617465,1.8591130127473279,0.07003893930774718,6.892434113381742,better
12,관악역1환승,60,accessible,558,1,3,1.6739980449657867,1.6450513047043105,3.077287274483318,2.473051860520651,0.028946740261476256,1.7291979729921292,better
12,관악역1환승,120,accessible,447,1,3,2.954037014439699,2.670346021150895,4.723726004807952,3.4431670820671916,0.28369099328880365,9.603501645446112,better
13,관악역2환승,15,accessible,657,1,3,1.300377208655946,1.3020895374230692,2.421242496892139,2.4226626942805503,-0.001712328767123239,-0.13167938931297335,worse
13,관악역2환승,30,accessible,624,1,3,2.024108138238573,2.0275753970791257,3.38060549741539,3.3686843220273706,-0.003467258840552656,-0.17129810285580627,worse
13,관악역2환승,60,accessible,558,1,3,2.9453015427769986,3.024788558187549,4.663613797916509,4.70680612311335,-0.07948701541055048,-2.698773427986785,worse
13,관악역2환승,120,accessible,447,1,3,4.877930162435561,4.498009488984526,7.167403530541453,6.542928181398378,0.37992067345103475,7.788563197906457,better
14,호계3동노외,15,accessible,51,1,1,0.09119927040583675,0.09119927040583675,0.4605337409193834,0.4605337409193834,0.0,0.0,tie
14,호계3동노외,30,accessible,45,1,1,0.103359173126615,0.0,0.49027560622765576,0.0,0.103359173126615,99.99999999999999,better
14,호계3동노외,60,accessible,33,1,1,0.14094432699083861,0.14094432699083861,0.5725185626945709,0.5725185626945709,0.0,0.0,tie
14,호계3동노외,120,accessible,15,1,1,0.31007751937984496,0.07295333826819131,0.8491822596979319,0.19979094507396625,0.23712418111165365,76.4725484085083,better
16,평촌지하,15,accessible,657,1,3,1.5088262786443787,0.808277124283323,2.2939127445860037,1.287924093089915,0.7005491543610557,46.430073778306124,better
16,평촌지하,30,accessible,624,1,3,2.9705031202509136,1.3532950259884933,4.439029417691511,2.0584371587620818,1.6172080942624203,54.44222843050969,better
16,평촌지하,60,accessible,558,1,3,5.940193539347426,2.2930372779642236,8.747540920742741,3.6039527448487294,3.6471562613832025,61.39793656931706,better
16,평촌지하,120,accessible,447,1,3,12.031731791881422,3.975702444069892,17.063913944414963,6.456086063115451,8.05602934781153,66.95652369218742,better
17,화창초교지하,15,accessible,657,1,3,0.6479270523508303,0.6473287931349261,1.1784345268600271,1.1615576923534836,0.0005982592159041733,0.0923343474753137,better
17,화창초교지하,30,accessible,624,1,3,1.1070924488355682,1.0840769938831942,1.7815260241178965,1.705724022233268,0.023015454952374004,2.078909938965033,better
17,화창초교지하,60,accessible,558,1,3,1.6885337542336656,1.516016715388097,2.536983975204649,2.117593311262164,0.17251703884556857,10.216973063938823,better
17,화창초교지하,120,accessible,447,1,3,2.8282330726761487,1.9525097362011767,3.850502819363457,2.745851097279623,0.8757233364749719,30.963619828062452,better
18,개나리놀이터지하,15,accessible,657,1,3,1.4323766036094805,1.4291340449308447,2.0513456129984395,2.0429421740576035,0.003242558678635765,0.22637612695325818,better
18,개나리놀이터지하,30,accessible,624,1,3,2.109088827838828,1.9264523535346194,2.941359831488505,2.6510414870986954,0.1826364743042086,8.659496550999002,better
18,개나리놀이터지하,60,accessible,558,1,3,3.1073988735279054,3.097892779219165,4.25555289607829,3.9017305286337387,0.009506094308740387,0.30591805866067934,better
18,개나리놀이터지하,120,accessible,447,1,3,4.542186001917545,4.198766629764848,6.653177411301742,4.871177043669579,0.343419372152697,7.56066290565199,better
20,병목안시민공원노외,15,accessible,657,1,3,1.5229653505237712,1.394290051388893,2.3371076176672814,2.095829300213257,0.1286752991348783,8.44899715483513,better
20,병목안시민공원노외,30,accessible,624,1,3,2.589555052790347,2.0886209307924313,3.9212622429333477,3.168951948777734,0.5009341219979158,19.344409050432798,better
20,병목안시민공원노외,60,accessible,558,1,3,4.588867805186591,3.0916916130415264,6.716938483513976,4.735518675838336,1.4971761921450644,32.62626546907439,better
20,병목안시민공원노외,120,accessible,447,1,3,7.836557441768654,4.493821490355862,11.554142794231746,6.831381012955662,3.3427359514127915,42.65566833717179,better
21,해동놀이터지하,15,accessible,657,1,3,1.2937595129375952,1.2776333539351825,2.1887726957265867,2.1281513565751404,0.016126159002412654,1.2464572311276605,better
21,해동놀이터지하,30,accessible,624,1,3,2.2562415654520915,1.8852257296660242,3.2649218709635286,2.773117249762679,0.37101583578606734,16.443976632073326,better
21,해동놀이터지하,60,accessible,558,1,3,3.8247500471609124,2.782158747796042,5.136057279984734,3.6706943960848126,1.0425912993648705,27.259070174762908,better
21,해동놀이터지하,120,accessible,447,1,3,6.626044978217355,3.6824684406927477,8.847621742188784,4.810333457002326,2.9435765375246077,44.42433679821678,better
22,박달시장1노상노외,15,accessible,143,1,2,5.994005994005994,6.026093903745861,8.489451475596091,8.439720018668979,-0.032087909739866305,-0.5353332941601028,worse
22,박달시장1노상노외,30,accessible,130,1,2,7.994505494505494,7.6906430876899075,10.412414097938038,9.87847459736204,0.3038624068155862,3.800890586971594,better
22,박달시장1노상노외,60,accessible,106,1,2,9.80458221024259,8.678297578653519,13.085535080400525,11.704775210278958,1.1262846315890709,11.487329163423924,better
