ts_kst,parking_id,cell_cnt,park_count,occ,temperature,humidity,precipitation,wind_speed,is_rain
2026-08-31 04:56:37+09:00,25,118,48,40.67796610169492,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,26,44,42,95.45454545454545,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,6,87,87,100.0,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,53,62,62,100.0,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,27,203,117,57.635467980295566,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,52,55,55,100.0,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,48,24,24,100.0,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,47,88,38,43.18181818181818,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,46,161,99,61.49068322981367,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,45,71,60,84.50704225352112,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,41,15,15,100.0,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,40,30,0,0.0,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,39,133,49,36.84210526315789,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,42,44,24,54.54545454545454,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,37,238,0,0.0,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,36,94,0,0.0,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,35,49,22,44.89795918367347,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,28,92,26,28.26086956521739,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,34,163,97,59.50920245398773,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,33,61,12,19.672131147540984,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,31,170,155,91.17647058823529,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,30,57,41,71.9298245614035,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,29,54,26,48.148148148148145,23.418001,97.0,1.4,6.439876,1
2026-08-31 04:56:37+09:00,38,194,124,63.91752577319587,23.418001,97.0,1.4,6.439876,1
2026-08-31 05:01:33+09:00,110,28,28,100.0,23.418001,97.0,3.0,7.653705,1
2026-08-31 05:01:33+09:00,111,12,1,8.333333333333332,23.418001,97.0,3.0,7.653705,1
2026-08-31 05:01:33+09:00,112,75,69,92.0,23.418001,97.0,3.0,7.653705,1
2026-08-31 05:01:33+09:00,162,12,12,100.0,23.418001,97.0,3.0,7.653705,1
2026-08-31 05:01:33+09:00,122,62,52,83.87096774193549,23.418001,97.0,3.0,7.653705,1
2026-08-31 05:01:33+09:00,161,17,17,100.0,23.418001,97.0,3.0,7.653705,1
2026-08-31 05:01:33+09:00,109,42,42,100.0,23.418001,97.0,3.0,7.653705,1
2026-08-31 05:01:33+09:00,121,64,42,65.625,23.418001,97.0,3.0,7.653705,1
2026-08-31 05:01:33+09:00,108,119,119,100.0,23.418001,97.0,3.0,7.653705,1
2026-08-31 05:01:33+09:00,61,32,27,84.375,23.418001,97.0,3.0,7.653705,1
