horizon,fold,test_date,train_n,test_n,constant_extras,tgt_lag_24h_train_null_rate,tgt_lag_7d_train_null_rate,tgt_lag_24h_delta_train_null_rate,tow_sin_train_null_rate,tow_cos_train_null_rate,tgt_day_of_week_train_null_rate,tgt_is_holiday_train_null_rate
240,4,2026-09-14,130063,7394,tgt_is_holiday,0.07702421134373343,0.6385828406233902,0.07702421134373343,0.0,0.0,0.0,0.0
240,5,2026-09-15,139033,5082,tgt_is_holiday,0.07397524328756483,0.5974121251789144,0.07397524328756483,0.0,0.0,0.0,0.0
240,6,2026-09-16,146427,8066,tgt_is_holiday,0.07155784110853873,0.5672451118987618,0.07155784110853873,0.0,0.0,0.0,0.0
240,7,2026-09-17,151509,1978,tgt_is_holiday,0.07704492802407778,0.5482776600729989,0.07704492802407778,0.0,0.0,0.0,0.0
360,1,2026-09-11,106595,3698,tgt_is_holiday,0.07116656503588348,0.7125943993620714,0.07116656503588348,0.0,0.0,0.0,0.0
360,2,2026-09-12,112625,0,tgt_is_holiday,0.06820865704772475,0.674503884572697,0.06820865704772475,0.0,0.0,0.0,0.0
360,3,2026-09-13,116323,6858,tgt_is_holiday,0.06604024999355243,0.6530608736019532,0.06604024999355243,0.0,0.0,0.0,0.0
360,4,2026-09-14,116323,7353,tgt_is_holiday,0.06604024999355243,0.6530608736019532,0.06604024999355243,0.0,0.0,0.0,0.0
360,5,2026-09-15,123181,3512,tgt_is_holiday,0.06419009425154854,0.6167347236992718,0.06419009425154854,0.0,0.0,0.0,0.0
360,6,2026-09-16,130534,6482,tgt_is_holiday,0.06173870409242037,0.5819939632586146,0.06173870409242037,0.0,0.0,0.0,0.0
360,7,2026-09-17,134046,1978,tgt_is_holiday,0.06903600256628321,0.5668128851289855,0.06903600256628321,0.0,0.0,0.0,0.0
720,1,2026-09-11,84784,2795,tgt_is_holiday,0.03398046801283261,0.7054632949613134,0.03398046801283261,0.0,0.0,0.0,0.0
720,2,2026-09-12,85343,0,tgt_is_holiday,0.03426174378683665,0.700842482687508,0.03426174378683665,0.0,0.0,0.0,0.0
720,3,2026-09-13,88138,1408,tgt_is_holiday,0.03317524790669178,0.6786176223649277,0.03317524790669178,0.0,0.0,0.0,0.0
720,4,2026-09-14,88138,7353,tgt_is_holiday,0.03317524790669178,0.6786176223649277,0.03317524790669178,0.0,0.0,0.0,0.0
720,5,2026-09-15,89546,0,tgt_is_holiday,0.03284345476068166,0.6679472003216224,0.03284345476068166,0.0,0.0,0.0,0.0
720,6,2026-09-16,96899,2537,tgt_is_holiday,0.031919834054015,0.6172612720461511,0.031919834054015,0.0,0.0,0.0,0.0
720,7,2026-09-17,96899,1978,tgt_is_holiday,0.031919834054015,0.6172612720461511,0.031919834054015,0.0,0.0,0.0,0.0
1440,1,2026-09-11,64600,0,"tgt_is_holiday,tgt_lag_24h_delta",0.0,0.6622910216718266,0.0,0.0,0.0,0.0,0.0
1440,2,2026-09-12,64600,0,"tgt_is_holiday,tgt_lag_24h_delta",0.0,0.6622910216718266,0.0,0.0,0.0,0.0,0.0
1440,3,2026-09-13,64600,0,"tgt_is_holiday,tgt_lag_24h_delta",0.0,0.6622910216718266,0.0,0.0,0.0,0.0,0.0
1440,4,2026-09-14,64600,2569,"tgt_is_holiday,tgt_lag_24h_delta",0.0,0.6622910216718266,0.0,0.0,0.0,0.0,0.0
1440,5,2026-09-15,64600,0,"tgt_is_holiday,tgt_lag_24h_delta",0.0,0.6622910216718266,0.0,0.0,0.0,0.0,0.0
1440,6,2026-09-16,67169,0,"tgt_is_holiday,tgt_lag_24h_delta",0.0,0.6369605026128125,0.0,0.0,0.0,0.0,0.0
1440,7,2026-09-17,67169,0,"tgt_is_holiday,tgt_lag_24h_delta",0.0,0.6369605026128125,0.0,0.0,0.0,0.0,0.0
