horizon,n,brier,brier_persistence,reliability_slope,unique_prob
15,219445,0.005721523368437187,0.007395930643213562,0.9811038300339896,19516
30,215967,0.00830071108126399,0.012589886417832354,0.9630126541420413,22332
60,209839,0.012025970128644451,0.021802429481650218,0.8872142061387402,26259
120,198640,0.017423572025747562,0.03967478856222312,0.8789859634054362,30633
240,176102,0.022587735474253055,0.0641843931357963,0.8229037301763982,35395
360,152432,0.024552652348371236,0.08511992232602078,0.7282900313374785,32329
