horizon,row_set,weekday_group,method,n,n_lots,mae,rmse
120,all,all,persistence,24027,66,10.510916718738669,16.580759382302976
120,all,all,lag_24h,24027,66,11.09859973986373,17.551092464641805
120,all,all,lag_7d,24027,66,9.069183946195718,14.451792448411691
120,all,all,seasonal_naive,24027,66,8.471139505145896,13.5032830842072
120,all,weekday,ml,24027,66,6.398299443625391,10.577170727312835
120,all,weekday,m1,24027,66,6.546742639815095,10.489224326373977
120,all,weekday,persistence,24027,66,10.510916718738669,16.580759382302976
120,all,weekday,lag_24h,24027,66,11.09859973986373,17.551092464641805
120,all,weekday,lag_7d,24027,66,9.069183946195718,14.451792448411691
120,all,weekday,seasonal_naive,24027,66,8.471139505145896,13.5032830842072
120,all,weekend,ml,0,0,,
120,all,weekend,m1,0,0,,
120,all,weekend,persistence,0,0,,
120,all,weekend,lag_24h,0,0,,
120,all,weekend,lag_7d,0,0,,
120,all,weekend,seasonal_naive,0,0,,
180,core,all,ml,39403,66,6.106641743197042,10.06362872641628
180,core,all,m1,39403,66,6.298348600240352,10.13794663015408
180,core,all,persistence,39403,66,11.254258515326079,18.113230860262465
180,core,all,lag_24h,39403,66,10.020087505576322,15.929092629742359
180,core,weekday,ml,28931,66,6.1441145289166865,10.120572268445663
180,core,weekday,m1,28931,66,6.496062299304685,10.437360681985249
180,core,weekday,persistence,28931,66,11.782701201296737,18.702494749888984
180,core,weekday,lag_24h,28931,66,9.963794100204083,16.121471985821945
180,core,weekend,ml,10472,51,6.003115658050458,9.904609327944149
180,core,weekend,m1,10472,51,5.752124858106073,9.260574788591661
180,core,weekend,persistence,10472,51,9.794329624205258,16.375427198711293
180,core,weekend,lag_24h,10472,51,10.175609326701634,15.385107994306408
180,all,all,ml,20190,66,6.991592323093641,11.225010745086303
180,all,all,m1,20190,66,7.438751205498569,11.629063195171009
180,all,all,persistence,20190,66,13.427296343926013,20.316127929720206
180,all,all,lag_24h,20190,66,11.288366276344632,17.77751749507113
180,all,all,lag_7d,20190,66,9.059240817717745,14.470157286742136
180,all,all,seasonal_naive,20190,66,8.52739461865242,13.648637064959335
180,all,weekday,ml,20190,66,6.991592323093641,11.225010745086303
180,all,weekday,m1,20190,66,7.438751205498569,11.629063195171009
180,all,weekday,persistence,20190,66,13.427296343926013,20.316127929720206
180,all,weekday,lag_24h,20190,66,11.288366276344632,17.77751749507113
180,all,weekday,lag_7d,20190,66,9.059240817717745,14.470157286742136
180,all,weekday,seasonal_naive,20190,66,8.52739461865242,13.648637064959335
180,all,weekend,ml,0,0,,
180,all,weekend,m1,0,0,,
180,all,weekend,persistence,0,0,,
180,all,weekend,lag_24h,0,0,,
180,all,weekend,lag_7d,0,0,,
180,all,weekend,seasonal_naive,0,0,,
240,core,all,ml,34730,66,6.63307265934969,10.72660498533282
240,core,all,m1,34730,66,6.792727226034791,10.880958926171516
240,core,all,persistence,34730,66,13.799905329276125,21.373641715848827
240,core,all,lag_24h,34730,66,9.96386392885049,15.93986566054167
