feature_set,n_features,n_eval,n_obs,mae_pp,spearman,ci_lo,ci_hi
BASE 9,9,67,66129,20.36742961307165,0.7103519833985155,0.5668698834477476,0.812005874355375
BASE + 공동주택 세대수,11,67,66129,19.98920563339698,0.7533322691356055,0.626491634925338,0.8413015632028944
BASE + 단지수 + 세대수,13,67,66129,20.119423220130678,0.7384468034160748,0.6056732900767143,0.8312136728375278
BASE + 공동주택 전체,16,67,66129,20.14265537620405,0.7344161545215101,0.6000672517995622,0.8284715487939849
BASE + 상권 전체,20,67,66129,20.256257760706692,0.7345757841807008,0.6002890224376431,0.8285802336012476
BASE + 상권 + 공동주택,27,67,66129,20.54592547243635,0.7325405060260197,0.5974629927944063,0.8271939713929336
