horizon,row_set,weekday_group,method,n,n_missing,n_lots,mae,rmse
60,all,weekday,h0,28531,0,66,5.236463836612047,9.19888562355406
60,all,weekday,persistence,28531,0,66,6.753149273632213,11.499577817679258
60,all,weekday,lag_24h,28531,0,66,10.987060737650015,17.39061258797869
60,all,weekday,lag_7d,28531,0,66,8.991033125556871,14.271484703047632
60,all,weekday,seasonal_naive,28531,0,66,8.396229384363847,13.37288930971632
60,all,weekend,g0,0,0,0,,
60,all,weekend,l0,0,0,0,,
60,all,weekend,h0,0,0,0,,
60,all,weekend,persistence,0,0,0,,
60,all,weekend,lag_24h,0,0,0,,
60,all,weekend,lag_7d,0,0,0,,
60,all,weekend,seasonal_naive,0,0,0,,
120,core,all,g0,47162,0,66,5.621049284883119,9.660598125394484
120,core,all,l0,47105,57,66,5.399613608155996,9.21945790901039
120,core,all,h0,47162,0,66,6.069966256314552,10.077811138291027
120,core,all,persistence,47162,0,66,8.774545334409412,14.719603440035542
120,core,all,lag_24h,47162,0,66,10.207800954177255,16.174885542198368
120,core,weekday,g0,34109,0,66,5.677906590099216,9.666507030404398
120,core,weekday,l0,34052,57,66,5.531657402027163,9.537987066985625
120,core,weekday,h0,34109,0,66,5.92255952604076,9.963614929977007
120,core,weekday,persistence,34109,0,66,9.206294918477994,15.220802579685605
120,core,weekday,lag_24h,34109,0,66,9.981086773386794,16.12800838447487
120,core,weekend,g0,13053,0,51,5.472474564618362,9.645140383636635
120,core,weekend,l0,13053,0,51,5.0551444999892166,8.331366561940856
120,core,weekend,h0,13053,0,51,6.455157106150511,10.370284346943269
120,core,weekend,persistence,13053,0,51,7.646333692411774,13.321187411400295
120,core,weekend,lag_24h,13053,0,51,10.800231352750902,16.296744444653825
120,all,all,g0,24027,0,66,6.398299443625391,10.577170727312835
120,all,all,l0,24027,0,66,6.122691902030693,10.297511559014168
120,all,all,h0,24027,0,66,6.740299679854094,10.958928264051808
120,all,all,persistence,24027,0,66,10.510916718738669,16.580759382302976
120,all,all,lag_24h,24027,0,66,11.09859973986373,17.551092464641805
120,all,all,lag_7d,24027,0,66,9.069183946195718,14.451792448411691
120,all,all,seasonal_naive,24027,0,66,8.471139505145896,13.5032830842072
120,all,weekday,g0,24027,0,66,6.398299443625391,10.577170727312835
120,all,weekday,l0,24027,0,66,6.122691902030693,10.297511559014168
120,all,weekday,h0,24027,0,66,6.740299679854094,10.958928264051808
120,all,weekday,persistence,24027,0,66,10.510916718738669,16.580759382302976
120,all,weekday,lag_24h,24027,0,66,11.09859973986373,17.551092464641805
120,all,weekday,lag_7d,24027,0,66,9.069183946195718,14.451792448411691
120,all,weekday,seasonal_naive,24027,0,66,8.471139505145896,13.5032830842072
120,all,weekend,g0,0,0,0,,
120,all,weekend,l0,0,0,0,,
120,all,weekend,h0,0,0,0,,
120,all,weekend,persistence,0,0,0,,
120,all,weekend,lag_24h,0,0,0,,
120,all,weekend,lag_7d,0,0,0,,
120,all,weekend,seasonal_naive,0,0,0,,
180,core,all,g0,39403,0,66,6.106641743197042,10.06362872641628
180,core,all,l0,39134,269,66,6.045507960656052,10.206533060066507
180,core,all,h0,39403,0,66,7.318801228962268,11.784317970179057
180,core,all,persistence,39403,0,66,11.254258515326079,18.113230860262465
180,core,all,lag_24h,39403,0,66,10.020087505576322,15.929092629742359
180,core,weekday,g0,28931,0,66,6.1441145289166865,10.120572268445663
180,core,weekday,l0,28662,269,66,6.19820362283506,10.596313089096162
180,core,weekday,h0,28931,0,66,6.561964313925136,10.819273811570692
180,core,weekday,persistence,28931,0,66,11.782701201296737,18.702494749888984
180,core,weekday,lag_24h,28931,0,66,9.963794100204083,16.121471985821945
180,core,weekend,g0,10472,0,51,6.003115658050458,9.904609327944149
180,core,weekend,l0,10472,0,51,5.627577950211559,9.054289276829044
180,core,weekend,h0,10472,0,51,9.40971497886098,14.111492453572689
180,core,weekend,persistence,10472,0,51,9.794329624205258,16.375427198711293
180,core,weekend,lag_24h,10472,0,51,10.175609326701634,15.385107994306408
180,all,all,g0,20190,0,66,6.991592323093641,11.225010745086303
180,all,all,l0,19967,223,66,6.870195355493808,11.412887268078714
180,all,all,h0,20190,0,66,7.567172835597447,12.108779002715671
180,all,all,persistence,20190,0,66,13.427296343926013,20.316127929720206
180,all,all,lag_24h,20190,0,66,11.288366276344632,17.77751749507113
180,all,all,lag_7d,20190,0,66,9.059240817717745,14.470157286742136
180,all,all,seasonal_naive,20190,0,66,8.52739461865242,13.648637064959335
180,all,weekday,g0,20190,0,66,6.991592323093641,11.225010745086303
180,all,weekday,l0,19967,223,66,6.870195355493808,11.412887268078714
