prk_center_id,name,cells,la,lo
13984-29391-00006-00-1,부림동우체국,2,37.3928836574,126.9615455869
13984-29391-00024-00-1,신안시티,8,37.4053819212,126.9718309541
13984-29391-00025-00-1,한국해사위험물검사원,42,37.4053675819,126.9721562475
13985-29391-00026-00-1,박달마루채,6,37.4098918943,126.8847733568
13986-29391-00001-00-1,,69,37.3980985274,126.960797543
13986-29391-00002-00-1,안양농협종합시설,130,37.397774077,126.9605492531
13986-29391-00010-00-1,,208,37.3923099997,126.9597209694
13986-29391-00013-00-1,경기도안양교육청,99,37.3953770867,126.9597419146
13986-29391-00014-00-1,안양소방서,48,37.3958783545,126.9606315585
13986-29391-00018-00-1,효성인텔리안,326,37.3947682141,126.9603882074
13986-29391-00019-00-1,세방 글로벌시티,290,37.3949738289,126.9609346883
13986-29391-00022-00-1,,16,37.3899707706,126.9350324912
13986-29391-00024-00-1,,14,37.3897184695,126.9350056072
13986-29391-00026-00-1,신한은행,33,37.3942855699,126.9613054579
13986-29391-00029-00-1,송백,68,37.3945057388,126.9622946197
13986-29391-00030-00-1,중소기업은행,40,37.3947365152,126.9626558841
13986-29391-00036-00-1,,12,37.3933518103,126.9603979871
13986-29391-00038-00-1,,16,37.3934708642,126.9607547813
13986-29391-00039-00-1,,17,37.3935249764,126.9609083372
13986-29391-00041-00-1,,16,37.3936332017,126.9612199667
13986-29391-00045-00-1,,20,37.3930600714,126.9609763359
13986-29391-00054-00-1,월마트 안양점,638,37.3949350079,126.9635140656
13986-29391-00055-00-1,평촌I-PARK,550,37.3936665842,126.9642193616
13986-29391-00058-00-1,"관양동 1653-1 노유자시설 (백성희,남궁 진)",3,37.4133614896,126.9724063175
13986-29392-00037-00-1,,16,37.3934203544,126.9605967066
13986-29392-00043-00-1,,35,37.3938676907,126.9619064602
13986-29392-00047-00-1,,15,37.3932945617,126.9616628233
13987-29391-00002-00-1,,692,37.3980942398,126.9587872788
13987-29391-00003-00-1,부림동사무소,7,37.3987684334,126.9594509811
13987-29391-00016-00-1,안양노동복지회관,13,37.377232879,126.9399209765
13987-29391-00024-00-1,,37,37.4100492761,126.9721274059
13987-29391-00025-00-1,NEXT EYE,77,37.4094076718,126.9717978199
13987-29391-00026-00-1,이오테크닉스 R&D 센터,116,37.4109175675,126.9709162005
13987-29391-00028-00-1,대한예수교장로회,61,37.410523837,126.9675141489
13987-29391-00049-00-1,해오름둥지,6,37.407205267,126.9705200516
13987-29391-00060-00-1,트윈 픽스(Twin Peaks ),6,37.408975363,126.97256606
13987-29391-00065-00-1,.,5,37.4083337118,126.972033162
13987-29391-00076-00-1,,163,37.4082401714,126.9727425325
13988-29391-00011-00-1,,11,37.4011730223,126.9043028938
13988-29391-00021-00-1,,17,37.4020672755,126.9004707558
13988-29391-00041-00-1,코리아골프클럽,196,37.4028016121,126.8952608379
13988-29391-00065-00-1,상주이씨문중회관,7,37.4070294028,126.8839012513
13988-29391-00088-00-1,안양원예농협주유소,3,37.4096850977,126.8833820845
13988-29391-00089-00-1,,11,37.4094258182,126.8835993567
13989-29391-00009-00-1,비산동 145-3 노유자시설 (최삼녀),7,37.4092296641,126.9467765322
13989-29391-00013-00-1,비산동전통음식점,2,37.410568773,126.9514112594
13989-29391-00020-00-1,비산동 247-6,12,37.4014670663,126.9481147309
13990-29391-00006-00-1,바움,8,37.4084966637,126.884310132
13990-29391-00020-00-1,.,2,37.4139853149,126.9511108377
13991-29391-00015-00-1,안양천 방문자센터,15,37.4170779898,126.8959684531
13991-29391-00031-00-1,수림,20,37.4091059689,126.9003801188
13991-29391-00033-00-1,,13,37.408345722,126.9006341372
13991-29391-00056-00-1,비산동 36-1 (박기영),2,37.4139027712,126.9519648693
13992-29391-00023-00-1,연현빗물펌프장,2,37.4356186363,126.9017234994
13992-29391-00030-00-1,해뜨는집,4,37.4329548792,126.9057132211
13992-29391-00034-00-1,늘푸른마을,6,37.4329298272,126.9059347102
13992-29391-00035-00-1,늘푸른마을,6,37.4328252267,126.9058308917
13992-29391-00036-00-1,,13,37.4321328101,126.9052849001
13992-29391-00039-00-1,유진O/B주유소,2,37.4295266885,126.9048091337
13994-29391-00001-00-1,,12,37.3977223479,126.9683011906
13995-29391-00002-00-1,,39,37.3981697991,126.9704016197
13995-29391-00003-00-1,,160,37.3981735299,126.9709120909
13995-29391-00004-00-1,,27,37.3976149331,126.9710613818
13996-29391-00003-00-1,영원해밀리지2,12,37.4106564497,126.9102910084
13996-29391-00021-00-1,그라하시티,12,37.4095252042,126.9108661608
13996-29391-00023-00-1,제니스6차,11,37.4094060718,126.9106042504
13996-29391-00026-00-1,,12,37.4102392321,126.9114255692
13996-29391-00028-00-1,,20,37.4096810256,126.911995513
13996-29391-00039-00-1,,26,37.4125407502,126.909461909
13996-29391-00040-00-1,석수동 319-2,2,37.4124832371,126.9096607841
13996-29391-00045-00-1,명품하이츠,11,37.4130677704,126.9105456788
13996-29391-00046-00-1,허가번호:117,5,37.4119975858,126.9108451583
13998-29391-00002-00-1,안양박달동새마을금,6,37.4033006006,126.9103946515
13998-29391-00043-00-1,로체,8,37.4059857246,126.910504402
13999-29391-00015-00-1,,15,37.4115222082,126.911324657
13999-29391-00019-00-1,,15,37.4111586929,126.9119892661
14000-29391-00007-00-1,I loom village,13,37.4066921169,126.9104945259
14000-29391-00010-00-1,수자인,16,37.406713936,126.9107520241
14000-29391-00017-00-1,,13,37.4052656581,126.9068096312
14001-29391-00002-00-1,석수공급관리소,3,37.427572071,126.9078259295
14001-29391-00005-00-1,청광플러스원,51,37.4300799697,126.9026662505
14002-29391-00054-00-1,세원전기통신공사,5,37.4020897633,126.9105722833
14002-29391-11013-00-1,안양지구대,6,,
14005-29391-00005-00-1,,15,37.4196164396,126.9106327835
14005-29391-00006-00-1,,27,37.4197930309,126.9207274715
14005-29391-00007-00-1,,16,37.4192923553,126.9211617968
14005-29391-00012-00-1,,17,37.4189281812,126.9209181686
14005-29391-00015-00-1,원두막집,4,37.420612051,126.9277488297
14005-29391-00018-00-1,사랑이 깊은 집,4,37.4187153886,126.9322828982
14005-29391-00100-00-1,,13,37.4003056027,126.9459967843
14005-29391-00101-00-1,,16,37.4008071171,126.9472071453
14005-29391-00102-00-1,,25,37.4000461499,126.9460873219
14005-29391-00106-00-1,벧엘,3,37.4006906615,126.9447451305
14005-29391-00118-00-1,,14,37.3976448173,126.9367695938
14005-29391-00120-00-1,,11,37.3972273254,126.9378676727
14005-29391-11014-00-1,신호안차랑21차,8,,
14005-29392-00137-00-1,,17,37.3969033423,126.9386042732
14006-29391-00043-00-1,비산 파출소,5,37.3991087169,126.9379790574
14006-29391-00051-00-1,,16,37.3999523931,126.932006143
14007-29391-00009-00-1,삼우아트,12,37.4029463173,126.9089765022
14009-29391-00019-00-1,.,6,37.4080922117,126.9719203005
14009-29391-00025-00-1,제1동,6,37.4077642586,126.9719972294
14011-29391-00010-00-1,불암사,2,37.4094171753,126.9328153717
14011-29391-11013-00-1,,73,,
14013-29391-00001-00-1,안양농협 평촌지소,4,37.3936045725,126.975435557
14013-29391-00003-00-1,오영준씨건물,14,37.3926169877,126.9751287148
14013-29391-00004-00-1,오영준씨건물,14,37.3923034052,126.9750023395
14013-29391-00006-00-1,'93-253,4,37.3924621672,126.975878607
14013-29391-00011-00-1,퍼스트힐,19,37.3892650241,126.9298702582
14013-29391-00017-00-1,삼성전자디지탈센터,36,37.3899136898,126.974059088
14014-29391-00001-00-1,,20,37.3940444101,126.9761129949
14015-29391-00004-00-1,세리상사,13,37.3961019224,126.974106646
14015-29391-00006-00-1,평촌동 85-7 (플러스아울렛),8,37.3956046339,126.9744546495
14016-29391-00009-00-1,Doheon Bio Solution(DBS),40,37.400612275,126.9663122277
14016-29391-00014-00-1,이즈미디어,60,37.3981330005,126.9675149805
14017-29391-00004-00-1,엘지유플러스평촌메가센터,349,37.397969911,126.964370909
14017-29391-00006-00-1,안양창업지원센터,151,37.3982110152,126.9631646332
14017-29391-00007-00-1,글로텍디지털센터,140,37.3973713946,126.9635896806
14017-29391-00008-00-1,네온테크,102,37.3965425805,126.9640011612
14017-29391-00017-00-1,'92-222호,5,37.3923976235,126.9775544758
14019-29391-00026-00-1,,12,37.3973630451,126.9355591651
14019-29391-00031-00-1,1,7,37.3976581416,126.934759328
14019-29391-00032-00-1,허가번호:1403,28,37.3975357793,126.9350801708
14019-29391-00038-00-1,,16,37.3946156127,126.9402955882
14019-29392-00024-00-1,허가번호:246호,4,37.3975162991,126.9324736378
14022-29391-00013-00-1,안양신경외과,7,37.4027754682,126.9118093271
14022-29391-11013-00-1,로체그랑,8,,
14024-29391-00002-00-1,,13,37.4087363785,126.9478386326
14024-29391-00005-00-1,.,5,37.4079651275,126.9478888658
14024-29391-00014-00-1,햇살가득한집,12,37.4073711948,126.9495970847
14024-29391-00028-00-1,관악관,18,37.4033343645,126.948994408
14025-29391-00018-00-1,1동,8,37.4024519734,126.9504271214
14025-29391-00020-00-1,,20,37.4026327509,126.9518139438
14025-29391-00023-00-1,허가번호:310,2,37.402336938,126.9511364772
14025-29391-00038-00-1,수자인,16,37.4042037234,126.9508235354
14026-29391-00002-00-1,비산동 1043-7 노유자시설 (강정근),2,37.4061248111,126.951093356
14026-29391-00004-00-1,,12,37.4066581663,126.9509755421
14026-29391-11013-00-1,한국도로공사도로관리사무소,5,,
14029-29391-00002-00-1,정우펠리스,11,37.40612656,126.9108701871
14031-29391-00005-00-1,목련원,8,37.4114758607,126.9072853918
14032-29391-00001-00-1,밀레니엄,12,37.4108254734,126.9098073578
14032-29391-00078-00-1,No. 180,6,37.3727409616,126.9634254671
14032-29391-11013-00-1,한일코지세상,55,,
14033-29391-00002-00-1,,40,37.3807360296,126.9674457071
14040-29391-11012-00-1,쎈텀플레이스,80,,
14051-29391-00004-00-1,94-110,2,37.3783731966,126.960401348
14055-29391-11011-00-1,현대자동차 신영공업사,12,,
14055-29392-11010-00-1,,30,,
14058-29391-11010-00-1,에이스하이테크시티평촌,346,,
14059-29391-11010-00-1,,17,,
14066-29391-00039-00-1,제176호,2,37.3795985762,126.9603600566
14087-29391-00018-00-1,제100호,2,37.3787228755,126.9606450438
14087-29391-00019-00-1,,13,37.3771657691,126.9602393997
14088-29391-11013-00-1,,22,,
14091-29391-00016-00-1,nO. 270('94.11.18),2,37.3733934538,126.9639128752
14093-29391-00017-00-1,수자인,14,37.4109430822,126.9080857739
14093-29391-00018-00-1,영원해밀리지3,15,37.4109325084,126.9083930259
14093-29391-00019-00-1,유일스타리움,9,37.4112245958,126.908595991
14093-29391-11013-00-1,다온채,3,,
14094-29391-00016-00-1,No. 179,2,37.3728129172,126.9630189979
14095-29391-00005-00-1,이재운,2,37.379245758,126.961520937
14095-29391-00006-00-1,'95.4.10.  제105호,2,37.3791015897,126.9615074617
14096-29391-00007-00-1,.,6,37.4036496109,126.9530782727
14096-29391-00010-00-1,,12,37.4026257168,126.9522431321
14096-29391-00016-00-1,하이마트,20,37.4027882585,126.9531375404
14096-29391-00017-00-1,92-30,5,37.4005984901,126.9481334002
14096-29391-00019-00-1,"No.188(92,8,4)",5,37.4008437965,126.9486572747
14096-29391-00025-00-1,,74,37.4015764166,126.9509924058
14096-29391-00028-00-1,비산동 키즈맘센터,175,37.4018511413,126.9529980759
14096-29391-00031-00-1,달안동사무소,6,37.3960762393,126.9501738329
14114-29391-00031-00-1,,12,37.4100153141,126.910806844
14119-29391-11011-00-1,,31,,
14354-29391-00067-00-1,까사리움,6,37.3938310878,126.9235419301
14487-29391-00204-00-1,해밀레지던스,6,37.4137495131,126.9162470781
14516-29391-00030-00-1,신명프라임,9,37.4066041553,126.9133680545
14525-29391-00060-00-1,,39,,
14548-29392-00118-00-1,,22,37.3904162093,126.9324122519
14561-29391-00021-00-1,,83,37.4097175685,126.9715717962
14652-29391-00027-00-1,,13,37.3828106235,126.9372291884
14661-29391-00117-00-1,,12,37.4321824477,126.9042679503
14671-29391-00030-00-1,,64,37.399699014,126.9616279383
14692-29391-00033-00-1,평촌 더샵 센트럴시티,1906,37.4000815369,126.9631682352
14756-29391-00021-00-1,로체그랑,8,,
15087-29391-00028-00-1,,112,37.3827177969,126.9389094148
15436-29391-00031-00-1,신성안양미소지움,141,37.3922160654,126.9125760544
15640-29391-00241-00-1,수자인숲속마을,32,37.4100478528,126.9469160166
15640-29391-00302-00-1,메르디앙,5,,
15641-29391-00032-00-1,더편안한집,7,,
16011-29391-11066-00-1,의왕청계편의시설,46,,
16361-29391-00089-00-1,,235,37.395757522,126.9466053673
16369-29391-00006-00-1,장애인종합복지회관(곰두리회관),14,37.4125236292,126.920753206
16681-29391-00027-00-1,안양시노인종합복지관,17,37.3794251826,126.9498235443
16802-29391-00304-00-1,SKT 안양호계 전송국사,17,,
16824-29391-00217-00-1,청명해오름,26,,
16888-29391-00133-00-1,성지촌,3,,
16968-29391-00077-00-1,세종렉스힐,18,,
16995-29391-00032-00-1,,15,37.3857384834,126.9397967562
17038-29391-00069-00-1,강후그로잉,8,,
17045-29391-00083-00-1,Dream House,2,,
17106-29391-00111-00-1,펄어비스 안양오피스,103,37.3981435355,126.9665211357
17128-29391-00006-00-1,비산동 81 교정및군사시설 (6950부대-헌병대),37,,
17128-29391-00020-00-1,DH스페이스,7,,
17128-29391-00130-00-1,로체그랑,6,,
17166-29391-00307-00-1,금정역호계푸르지오,418,37.3746431,126.9511544473
17307-29391-00033-00-1,Michael House,3,37.3999014351,126.9145684066
17343-29391-00117-00-1,조인,4,,
17406-29392-00106-00-1,유일-SJ뷰,15,,
17413-29391-00112-00-1,호계 데시앙플렉스,280,,
17537-29391-00112-00-1,한일타일,2,,
17544-29391-00051-00-1,안양열병합발전소,43,37.3924637154,126.967318674
17553-29391-00187-00-1,대명 글로벌 비즈스퀘어,164,37.3965323865,126.9660927032
17554-29391-00205-00-1,.,7,37.3951492495,126.969133453
17736-29391-00004-00-1,안양자동차검사소,20,37.3954998965,126.9734608797
17741-29391-00064-00-1,대경시실리,64,,
17798-29391-00065-00-1,,43,37.4168498103,126.9173732703
17799-29391-00008-00-1,휴스토리,10,37.3869252537,126.9286754904
17800-29391-00051-00-1,다청림 카운티,91,37.3985999716,126.9002630197
17800-29391-00052-00-1,라이프스토리,20,37.3923114373,126.90999216
17946-29391-00049-00-1,안양종합운동장,1022,37.4053696785,126.9467431196
18131-29392-00013-00-1,청명더에이스,48,,
18274-29391-00082-00-1,종합강의동,313,37.4036672339,126.930340241
18334-29391-00152-00-1,호계동 금호 어울림,142,37.3634641934,126.9640711533
18336-29391-00334-00-1,안양 명학역유보라 더스마트,400,,
18473-29391-00053-00-1,흥부가,8,37.4219706268,126.9116015462
18474-29391-00070-00-1,수도군단  통합정비고(건물번호 24번 정비시설),18,37.4149124171,126.9448612019
18511-29391-00159-00-1,리첸시아,10,,
18541-29391-00310-00-1,,36,37.4004613077,126.9677624432
18542-29391-00106-00-1,비산주유소,33,37.3935061588,126.9415070716
18551-29391-00134-00-1,,14,37.3691852726,126.9573264574
18553-29391-00734-00-1,관양동 1491-5 음식점,6,,
18554-29391-00156-00-1,해든누리9차,32,37.4022832278,126.9138699765
18565-29391-00104-00-1,오뚜기중앙연구소,132,,
18577-29391-00353-00-1,박달주유소,2,37.4036608411,126.8851849818
18577-29391-00392-00-1,,11,37.3952584082,126.8954249226
18581-29391-00361-00-1,골든클래스3차,20,37.4035522252,126.9528885867
18585-29392-00256-00-1,어반휴플러스,92,,
18588-29391-00051-00-1,,17,37.403645412,126.9363850579
18594-29391-00136-00-1,원평노블레스 7차,13,37.3963809597,126.926349131
18614-29391-00121-00-1,비산동  11-1 교정빛군사시설,101,,
21126-29391-00086-00-1,안양임곡 휴먼시아,505,37.401273913,126.9299855627
21543-29391-00138-00-1,평촌 어바인 퍼스트,4497,,
21551-29391-00094-00-1,평촌신도시주유소,6,37.3958396242,126.9634820059
21559-29391-00097-00-1,삼성원시티,45,,
21639-29392-00038-00-1,,27,37.3915154254,126.9550733422
22135-29391-00027-00-1,피렌체,3,,
22175-29391-00019-00-1,영원해밀리지,8,,
22313-29391-00026-00-1,박달동 동원베네스트,140,37.4050109658,126.9083415033
22359-29391-00445-00-1,영원해밀리지,8,,
22678-29391-00086-00-1,휴원,11,,
22777-29391-00064-00-1,삼성사,2,37.4083538953,126.9326807792
22830-29391-00030-00-1,꿈에그린7차,13,,
23037-29391-00101-00-1,,16,37.381540765,126.9713972612
23048-29391-00309-00-1,안양2차 SK V1 center,365,,
24065-29391-00040-00-1,석수하수처리장,29,37.419476899,126.8985001451
24161-29391-00025-00-1,,28,37.3895699685,126.9404576827
24202-29391-00085-00-1,더 퍼스트힐 B,7,,
24408-29391-00325-00-1,호계스카이뷰,28,,
24408-29391-00327-00-1,개성하이뷰,28,,
24465-29391-00266-00-1,,16,37.4165252889,126.9171522175
24549-29391-00028-00-1,수림,20,,
24637-29391-00022-00-1,주건축물 제1동,3,,
24745-29391-00041-00-1,골든트리,6,,
24750-29391-00041-00-1,안양예술인센터,6,,
25302-29391-00073-00-1,라온채,16,37.4116830325,126.9095307153
25312-29391-00109-00-1,분뇨처리장,16,37.4168189924,126.8965336333
25620-29391-00096-00-1,서림계전,15,37.3870271955,126.9368191624
25626-29392-00046-00-1,,174,,
25640-29391-00037-00-1,,14,37.42453012,126.9124119643
25641-29391-00048-00-1,동편마을,1221,37.4090718289,126.9691412961
25756-29391-00009-00-1,호계스카이뷰,28,,
26043-29391-00073-00-1,,14,37.399697518,126.9687927715
26201-29391-00269-00-1,안양복지관,9,,
26210-29391-00056-00-1,,40,37.4150045284,126.9493524913
26320-29391-00025-00-1,103에비뉴,135,,
26357-29391-00144-00-1,그랑메종,10,,
26369-29392-00058-00-1,엠씨티,82,,
26451-29391-00062-00-1,샘마을201동-208동,521,37.3766345908,126.9675378031
26504-29391-00104-00-1,베아누체,20,,
27147-29391-00042-00-1,신우메르디앙,5,,
27197-29391-00067-00-1,노블리앙 비씨 3차,8,,
27315-29391-00124-00-1,유앤아이,10,,
27489-29391-00061-00-1,에버앤비 스퀘어,40,,
27816-29391-00123-00-1,연리지Ⅲ,5,37.3788458783,126.9367808632
28100-29391-00024-00-1,,12,37.3687497326,126.9495822916
28172-29391-00149-00-1,지에스피배터리(GSP BATTERY),5,,
28174-29391-00171-00-1,우명 또다른세상,8,37.4029290151,126.963984553
28181-29391-00189-00-1,더끌리움,16,,
28181-29391-00217-00-1,알파존,26,,
28293-29391-00082-00-1,그랜드지오,8,,
28317-29391-00004-00-1,신호안차랑18차,8,,
28328-29391-00073-00-1,,33,37.3964032291,126.9682159165
28670-29391-00084-00-1,조양위너스,10,37.4065003709,126.9143756783
28706-29391-00017-00-1,푸르뫼,5,,
30000-29391-11014-00-1,만안택시쉼터,1,,
30000-29391-20112-00-1,,11,37.3847237679,126.9511704922
30000-29391-20114-00-1,호계동 신도브래뉴,609,37.3836017624,126.9485019193
30000-29391-20116-00-1,101,4,37.3840715811,126.9515457938
30000-29391-20118-00-1,프로방스힐,4,37.3822039444,126.9498307259
30000-29391-20121-00-1,허가번호:92-261호,4,37.3823513315,126.9489408757
30000-29391-20122-00-1,,12,37.3823703942,126.9298721628
30000-29391-20152-00-1,,17,37.3941353039,126.9258544347
30000-29391-20165-00-1,.,7,37.3766955283,126.9554479928
30000-29391-20170-00-1,,13,37.3969959369,126.9242569796
30000-29391-20176-00-1,,20,37.3966855818,126.9236293779
30000-29391-20179-00-1,,14,37.396077974,126.9259609371
30000-29391-20181-00-1,,16,37.3960210743,126.9271942234
30000-29391-20216-00-1,,14,37.3953483641,126.9234726296
30000-29391-20240-00-1,,28,37.3934814418,126.9234654932
30000-29391-20254-00-1,,62,37.3706124452,126.9571811433
30000-29391-20277-00-1,안양1번가지점,46,37.3998712373,126.9230795207
30000-29391-20283-00-1,리치밸리,164,37.3690583459,126.9552086609
30000-29391-20284-00-1,베네치아,13,37.3688670787,126.9545539981
30000-29391-20291-00-1,로얄리움,6,37.3686115122,126.9554076166
30000-29391-20303-00-1,,19,37.3696249846,126.9573578186
30000-29391-20312-00-1,광진신세대 나동,6,37.3688247281,126.9569563745
30000-29391-20333-00-1,광진신세대 가동,7,37.3687237523,126.9567893516
30000-29391-20342-00-1,,22,37.3675599159,126.957589284
30000-29391-20349-00-1,,26,37.3989715159,126.9196155144
30000-29391-20351-00-1,,17,37.3986048673,126.9210524654
30000-29391-20353-00-1,학림사,2,37.4005344589,126.9231872652
30000-29391-20356-00-1,유일스타리움,8,37.4040673941,126.919180879
30000-29391-20360-00-1,,19,37.4044312608,126.9189681501
30000-29391-20385-00-1,,13,37.3757410875,126.9571962925
30000-29391-20386-00-1,19931207,7,37.3756544874,126.9569163431
30000-29391-20388-00-1,안양우리주유소,3,37.3746599472,126.9574452894
30000-29391-20423-00-1,호계동 동원베네스트,118,37.3746217357,126.9616362003
30000-29391-20434-00-1,,21,37.373542865,126.9579742901
30000-29391-20435-00-1,,14,37.3733302535,126.9580602121
30000-29391-20442-00-1,,15,37.3722707927,126.9584717491
30000-29391-20473-00-1,골든뷰,8,37.4005133988,126.9186425842
30000-29391-20498-00-1,,16,37.401680978,126.9184335093
30000-29391-20503-00-1,행복한 사람들,19,37.4024422206,126.9144390262
30000-29391-20540-00-1,호계동 박영욱씨 신축공사,4,37.3716875015,126.9601384262
30000-29391-20544-00-1,스위트홈 B동,6,37.3715037728,126.9603778639
30000-29391-20545-00-1,,55,37.3708652277,126.958571872
30000-29391-20569-00-1,안양푸른요양원,18,37.3689406557,126.9586271187
30000-29391-20571-00-1,호계파출소,2,37.3682163252,126.9588984561
30000-29391-20576-00-1,,16,37.3722336178,126.9466581721
30000-29391-20578-00-1,우신주유소,2,37.3732606763,126.9464135828
30000-29391-20579-00-1,안양 IT밸리,223,37.3709151932,126.9481809376
30000-29391-20581-00-1,록스기계,22,37.3700364953,126.9498117348
30000-29391-20585-00-1,부림이엔지,16,37.369744186,126.9489313579
30000-29391-20588-00-1,플라이밍 워터 벤처밸리,14,37.3694846047,126.9487328414
30000-29391-20620-00-1,다해그린힐,16,37.3942207589,126.9187803852
30000-29391-20634-00-1,,23,37.3703577097,126.9508817627
30000-29391-20635-00-1,,40,37.3693087444,126.9504715155
30000-29391-20639-00-1,신용종합주방,7,37.368317974,126.9513346591
30000-29391-20640-00-1,안전운수,2,37.3682169828,126.9511495823
30000-29391-20642-00-1,은성기연,4,37.3690780383,126.9503678058
30000-29391-20652-00-1,우성화학,8,37.3689412691,126.9508149506
30000-29391-20653-00-1,G. square,1435,37.3902269308,126.9504803421
30000-29391-20654-00-1,,50,37.3912801896,126.9525891086
30000-29391-20655-00-1,국민은행 평촌범계지점,46,37.3913055842,126.9530046608
30000-29391-20657-00-1,,40,37.3916915262,126.9537768385
30000-29391-20663-00-1,,11,37.3975536488,126.9174938417
30000-29391-20667-00-1,다목적복지회관,3,37.3961157359,126.9176625593
30000-29391-20763-00-1,RAMS MALL,9,37.3938546513,126.9157858785
30000-29391-20772-00-1,서촌별장,7,37.3900293129,126.9138433447
30000-29391-20814-00-1,베아누체,8,37.3928021989,126.9107911059
30000-29391-20819-00-1,,12,37.3994072679,126.9191136031
30000-29391-20911-00-1,,55,37.4056490581,126.9133465647
30000-29391-20923-00-1,힐플러스,8,37.4046256619,126.9135691176
30000-29391-20927-00-1,101,3,37.403908437,126.9135518702
30000-29391-20928-00-1,수자인,7,37.403955389,126.9136873504
30000-29391-20955-00-1,미소지움,8,37.4032422675,126.9143567969
30000-29391-21007-00-1,삼익연립,12,37.4046591043,126.9149560578
30000-29391-21011-00-1,수자인,12,37.4053078807,126.915014057
30000-29391-21072-00-1,라폴리움,8,37.406055993,126.9179408303
30000-29391-21131-00-1,은가람,16,37.4083797732,126.9167229353
30000-29391-21158-00-1,거성,8,37.4015914711,126.9141824868
30000-29391-21173-00-1,럭스하임,6,37.4011023919,126.9156783808
30000-29391-21230-00-1,우수림,5,37.3998601829,126.9173783742
30000-29391-21232-00-1,신호안차랑5차,8,37.4010872757,126.9147025894
30000-29391-21233-00-1,신호안차랑,8,37.4003622495,126.9138676574
30000-29391-21239-00-1,안양월드,233,37.4012915737,126.9131437708
30000-29391-21241-00-1,더클래식,8,37.4014567277,126.9122852261
30000-29391-21279-00-1,베르사체,8,37.396606578,126.9135738095
30000-29391-21300-00-1,미담채,12,37.3919849685,126.9072732654
30000-29391-21307-00-1,동사무소,10,37.3914885512,126.9084889646
30000-29391-21313-00-1,우석펠리스,8,37.3910171185,126.909401977
30000-29391-21351-00-1,다기능 노인복지시설,2,37.3830674554,126.9015888781
30000-29391-21352-00-1,해피플레이스,14,37.3834031005,126.9021484941
30000-29391-21425-00-1,트인마루,3,37.4183698876,126.9214248466
30000-29391-21426-00-1,영산가온누리,8,37.4183269562,126.9219038702
30000-29391-21433-00-1,,13,37.4181189688,126.9235082084
30000-29391-21436-00-1,,12,37.4188434076,126.9235391025
30000-29391-21487-00-1,청년회불교교육원,10,37.422197055,126.9107652837
30000-29391-21488-00-1,가동,2,37.4218615553,126.9103409072
30000-29391-21496-00-1,,12,37.4203789231,126.9085667906
30000-29391-21559-00-1,요사채,1,37.4218203138,126.9234502171
30000-29391-21569-00-1,솔채,12,37.4189909746,126.908075939
30000-29391-21610-00-1,해동2차,6,37.4143691885,126.9110050108
30000-29391-21636-00-1,마인드 house M,8,37.4131187633,126.9065785038
30000-29391-21638-00-1,해맑음,17,37.4132667015,126.9067952015
30000-29391-21681-00-1,,33,37.4115472945,126.9064629807
30000-29391-21696-00-1,세명렉스힐,12,37.4116176456,126.908862091
30000-29391-21769-00-1,패미리월드G7,82,37.4196834096,126.9239313796
30000-29391-21849-00-1,허가번호 183호,17,37.3963869307,126.9437860946
30000-29391-21864-00-1,,11,37.3909808428,126.9303293964
30000-29391-21882-00-1,.,24,37.3836388568,126.9606244084
30000-29391-21912-00-1,신호안차랑,8,37.3878966708,126.931926695
30000-29391-21914-00-1,,50,37.3880878459,126.9322020501
30000-29391-21977-00-1,배드민턴장,147,37.3795854115,126.9642892812
30000-29391-41416-00-1,동편마을,879,37.4119618319,126.9673960525
30000-29391-41743-00-1,SK평촌사랑주유소,4,37.3959247193,126.97148666
30000-29391-42173-00-1,,25,37.4034752158,126.971226286
30000-29391-43567-00-1,영빈악기,6,37.4047249381,126.8899135456
30000-29391-45395-00-1,,200,37.3982274798,126.9173033698
30000-29391-45444-00-1,,152,37.3848268169,126.9272727981
30000-29391-45509-00-1,,11,37.3926159156,126.9414400065
30000-29391-45837-00-1,,21,37.3905975806,126.934485393
30000-29391-46469-00-1,,103,37.3922637711,126.9188276677
30000-29391-46839-00-1,폴리켐,55,37.3957518408,126.9719791125
30000-29391-50433-00-1,M-City VILL,6,37.3936132403,126.9211028726
30000-29391-50985-00-1,,12,37.4104037829,126.9097897906
30000-29391-53278-00-1,래미안안양메가트리아,4933,,
30000-29391-53655-00-1,마드리드,120,,
30000-29391-53823-00-1,비산동  11-1 교정빛군사시설,101,,
30000-29391-54730-00-1,라온하임,8,,
30000-29391-56394-00-1,안양 SK V1 center,437,,
30000-29391-58461-00-1,삼성원시티,24,,
30000-29391-60178-00-1,영원해밀리지,16,,
30000-29391-70365-00-1,다뉴브,8,,
30000-29392-20154-00-1,,12,37.397803767,126.9250647874
30000-29392-20156-00-1,원평노블레스,28,37.3964673394,126.9261593176
30000-29392-20173-00-1,,90,37.3953204151,126.92485043
30000-29392-20182-00-1,,97,37.3958034514,126.9249899845
30000-29392-20185-00-1,,16,37.3959416536,126.9269819861
30000-29392-20223-00-1,세르누비앙3차,31,37.3958528248,126.9233004587
30000-29392-20268-00-1,,19,37.3996376027,126.9240555491
30000-29392-20271-00-1,VON PLAZA,75,37.4005291327,126.9205806166
30000-29392-20274-00-1,,19,37.4001617283,126.9208972347
