prk_center_id,name,cells,la,lo
11759-29391-00013-00-1,'93-189호,1,37.3906098277,126.9766922612
11759-29392-00005-00-1,전화국,87,37.3933637139,126.9253537891
11759-29392-00012-00-1,안양동 456-2 의료시설 (의료법인효산의료재단),98,37.3924488089,126.9262039136
11760-29391-00004-00-1,,54,37.4006444654,126.9654583858
11760-29391-00006-00-1,디라직 본사,58,37.3994555156,126.9668503321
11760-29391-00007-00-1,,40,37.3991816456,126.9669950133
11762-29391-00006-00-1,개성하이뷰,28,37.391316436,126.9310337449
11764-29391-00015-00-1,안양세차장,1,37.3920751113,126.9280337016
11765-29391-00007-00-1,,19,37.3930303454,126.9282812315
11765-29391-00010-00-1,,12,37.3919919719,126.9276317605
11766-29391-00007-00-1,해뜨는집,4,37.3813873719,126.9313996382
11766-29391-00012-00-1,가동,1,37.3929915092,126.929627378
11777-29391-00005-00-1,,15,37.4055916116,126.9515906718
11800-29391-00005-00-1,평촌스포츠센타,119,37.3895464768,126.9522288453
11800-29391-00006-00-1,범계지구대,6,37.3898927089,126.9528248643
11800-29391-00009-00-1,G. square 주차동,1411,37.3885724937,126.9501020123
11800-29391-00012-00-1,신촌(7번)동사무소,20,37.3818533299,126.9563527537
11803-29391-00009-00-1,해동상운,38,37.3892235821,126.9396810464
11803-29391-00011-00-1,코리아테크 본사,14,37.3890181282,126.9396405589
11803-29391-00012-00-1,,31,37.3884665799,126.9394016067
11803-29391-00021-00-1,한국의류시험연구원안양,32,37.3861298634,126.9369825178
11808-29391-00061-00-1,허가번호 : 63호,3,37.4015295771,126.9736575304
11808-29391-00097-00-1,.,5,37.3998469814,126.9760659777
11808-29391-00109-00-1,,16,37.3887550135,126.9396091516
11808-29392-00103-00-1,,16,37.398279282,126.9764549782
11809-29391-00002-00-1,관악수목원 생태학습원,47,37.4162028212,126.9313678969
11809-29391-00022-00-1,베르사체2차,8,37.4155551248,126.9162044011
11809-29392-00003-00-1,,56,37.4160852205,126.916624034
11810-29391-00016-00-1,,19,37.3986467758,126.9758450026
11810-29391-00018-00-1,세원테크,8,37.3889258171,126.9354579817
11810-29391-00024-00-1,,14,37.3877075926,126.9353822399
11810-29391-00026-00-1,유천팩토피아,240,37.3900397803,126.9360080969
11810-29391-00029-00-1,현호실업,14,37.3893079958,126.9357241526
11810-29391-00033-00-1,거성냉동테크,15,37.3884367551,126.9374955105
11810-29391-00037-00-1,,14,37.3895139237,126.9366409151
11810-29391-00038-00-1,,15,37.3893194478,126.9369120943
11810-29391-00039-00-1,,13,37.3890708089,126.936993607
11810-29391-00040-00-1,,11,37.3887932916,126.9369893224
11810-29391-00041-00-1,,22,37.3886993776,126.9366009486
11810-29391-00042-00-1,,32,37.3885801776,126.9361087089
11810-29391-00043-00-1,AL시스템,29,37.3889801975,126.9360451327
11810-29391-00052-00-1,,30,37.39724159,126.9779324931
11810-29391-00055-00-1,허가번호93-2(93.1.9),84,37.3976380989,126.978253114
11810-29391-00060-00-1,,15,37.3851348196,126.9363961829
11810-29391-00061-00-1,,31,37.3847023722,126.9364778478
11810-29391-00064-00-1,,12,37.3853876196,126.9373580242
11810-29391-00072-00-1,인탑스C.N.D,19,37.3853206012,126.9401764919
11810-29391-00075-00-1,,31,37.3842744441,126.9382893746
11810-29391-00078-00-1,명지 이-스페이스,72,37.3840934764,126.9368442071
11810-29391-00082-00-1,,34,37.3826599184,126.9384984579
11810-29391-00084-00-1,,12,37.3826268411,126.9372790234
11810-29391-00086-00-1,평촌그라테아II,220,37.3952948965,126.9618650823
11810-29391-00092-00-1,,12,37.4128718503,126.9187286233
11810-29391-00094-00-1,좋은집,2,37.4119028151,126.9194028941
11810-29391-00095-00-1,한국도로공사도로관리사무소,5,37.3722266744,126.9020049565
11810-29391-00100-00-1,안양민자역사,796,37.4050374995,126.920074375
11810-29391-00109-00-1,에이원골프장,101,37.3911783927,126.9354921868
11810-29392-00101-00-1,청해수산,114,37.4028396936,126.9210932001
11813-29391-00013-00-1,평촌주공공이,466,37.3929848004,126.9622547272
11813-29391-00025-00-1,건우하이츠,2,37.3782947973,126.9374316678
11813-29391-00032-00-1,,11,37.3778261019,126.9371249531
11813-29391-00045-00-1,동행재,4,37.4100243421,126.9734060569
11813-29391-00062-00-1,그라하시티,10,37.3798619278,126.9362109492
11813-29391-00066-00-1,,30,37.3793077153,126.9377469691
11813-29391-00067-00-1,에코하임,8,37.379573978,126.9369157423
11813-29391-00080-00-1,한솔APT 103동,20,37.3921513109,126.9288828427
11813-29391-00084-00-1,한솔APT 104동,20,37.3919928098,126.9290139879
11815-29392-00003-00-1,안양동 431-1,18,37.392019391,126.9313041261
11816-29392-00006-00-1,,113,37.39313031,126.9267317525
11816-29392-00007-00-1,,21,37.3928347693,126.9267230059
12000-29391-00213-00-1,수자인,18,,
