dest,horizon,state,axis,n,changed,top1_changed,a_fail,b_fail,c_fail,rescued,harmed,a_flagged,extra_walk,extra_fare,changed_rate,top1_changed_rate,a_fail_rate,b_fail_rate,c_fail_rate,harmed_rate,rescue_rate,ai_gain_pp
석수역,360,outside|wd,walk,33,16,16,24,12,24,12,0,12,10.181818181818182,0.0,0.48484848484848486,0.48484848484848486,0.7272727272727273,0.36363636363636365,0.7272727272727273,0.0,0.5,36.36363636363637
안양시청,15,operating|wd,fare,40,11,0,0,0,0,0,0,0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,,0.0
안양시청,15,operating|wd,walk,40,20,11,5,0,0,5,0,5,0.275,-137.5,0.5,0.275,0.125,0.0,0.0,0.0,1.0,0.0
안양시청,30,operating|wd,fare,42,12,0,0,0,0,0,0,0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,,0.0
안양시청,30,operating|wd,walk,42,21,12,7,0,0,7,0,7,0.2857142857142857,-142.85714285714286,0.5,0.2857142857142857,0.16666666666666666,0.0,0.0,0.0,1.0,0.0
안양시청,60,operating|wd,fare,37,10,0,0,0,0,0,0,0,0.0,0.0,0.2702702702702703,0.0,0.0,0.0,0.0,0.0,,0.0
안양시청,60,operating|wd,walk,41,19,10,7,1,1,6,0,6,0.24390243902439024,-121.95121951219512,0.4634146341463415,0.24390243902439024,0.17073170731707318,0.024390243902439025,0.024390243902439025,0.0,0.8571428571428571,0.0
안양시청,60,outside|wd,fare,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
안양시청,120,operating|wd,fare,31,9,0,0,0,0,0,0,0,0.0,0.0,0.2903225806451613,0.0,0.0,0.0,0.0,0.0,,0.0
안양시청,120,operating|wd,walk,31,15,9,6,0,0,6,0,6,0.2903225806451613,-145.16129032258064,0.4838709677419355,0.2903225806451613,0.1935483870967742,0.0,0.0,0.0,1.0,0.0
안양시청,240,operating|wd,fare,19,7,0,0,0,0,0,0,0,0.0,0.0,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,,0.0
안양시청,240,operating|wd,walk,19,10,7,4,0,0,4,0,4,0.3684210526315789,-184.21052631578948,0.5263157894736842,0.3684210526315789,0.21052631578947367,0.0,0.0,0.0,1.0,0.0
안양시청,360,operating|wd,fare,7,6,0,0,0,0,0,0,0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,,0.0
안양시청,360,operating|wd,walk,7,6,6,2,0,0,2,0,2,0.8571428571428571,-428.57142857142856,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.0,0.0,0.0,1.0,0.0
안양역,15,operating|wd,fare,33,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
안양역,15,operating|wd,walk,33,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
안양역,30,operating|wd,fare,35,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
안양역,30,operating|wd,walk,35,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
안양역,60,operating|wd,fare,23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
안양역,60,operating|wd,walk,23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
안양역,120,operating|wd,fare,23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
안양역,120,operating|wd,walk,23,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
안양역,240,operating|wd,fare,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
안양역,240,operating|wd,walk,11,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
인덕원역,15,outside|wd,fare,44,15,0,0,0,0,0,0,0,0.0,0.0,0.3409090909090909,0.0,0.0,0.0,0.0,0.0,,0.0
인덕원역,15,outside|wd,walk,44,15,0,0,0,0,0,0,0,0.0,0.0,0.3409090909090909,0.0,0.0,0.0,0.0,0.0,,0.0
인덕원역,30,outside|wd,fare,46,15,0,0,0,0,0,0,0,0.0,0.0,0.32608695652173914,0.0,0.0,0.0,0.0,0.0,,0.0
인덕원역,30,outside|wd,walk,46,15,0,0,0,0,0,0,0,0.0,0.0,0.32608695652173914,0.0,0.0,0.0,0.0,0.0,,0.0
인덕원역,60,outside|wd,fare,45,15,0,0,0,0,0,0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,,0.0
