parking_id,name,type,cell_cnt,grade,occ,full
3,예술공원고가밑,노상,88,1,1.0,True
6,명학역노상,노상,87,2,1.0,True
15,석수대형화물,노외,74,2,0.24324324324324326,False
19,냉천놀이터지하,노외,101,3,1.0,True
35,공업부지노외,노외,49,2,0.4489795918367347,False
41,안양6동2노외,노외,15,2,1.0,True
45,평촌역노상,노상,71,1,0.8450704225352113,False
46,범계역노상,노상,161,1,0.6149068322981367,False
47,동안노상,노상,88,1,0.4318181818181818,False
55,안양3동노상,노상,27,1,0.9259259259259259,False
57,호계고가밑,노상,30,2,0.7333333333333333,False
61,수리산1노상,노상,32,1,0.84375,False
101,문예노상,노상,54,1,1.0,True
102,수리산2노상,노상,57,1,1.0,True
103,인덕원1노상,노상,51,1,1.0,True
104,인덕원2노상,노상,58,1,0.6551724137931034,False
105,관양시장노상,노상,27,2,1.0,True
106,시청앞노상,노상,34,2,1.0,True
107,삼막사노상,노상,173,3,1.0,True
109,관악3노상,노상,42,1,1.0,True
110,삼봉노상,노상,28,2,1.0,True
111,먹거리촌노외,노외,12,2,0.08333333333333333,False
