method,mae_pp,rmse_pp
baseline,29.89617463107742,34.235386661114745
level,20.733011353416376,25.651217863416935
level_time,20.64380918455491,25.605132138832776
oracle,4.346458930168988,8.494075389563179
diag_shape_err,17.37025572896335,21.159738588212587
diag_level_err,13.15499669132164,18.524158087146233
