horizon,row_set,n,n_dropped_without_m2,n_lots,ml_mae,m1_mae,m2_mae,best_model
360,core,28174,0,66,7.320808780807085,7.21492288701932,9.255156623732878,m1
360,all,15210,0,66,8.107048156860161,8.352224338358521,10.160629135289085,ml
720,core,15773,0,43,8.538003613215341,7.144068558585042,7.986157961219591,m1
720,all,8981,0,43,9.877884521982677,8.40502493436262,9.731506865526663,m1
1440,core,2569,0,43,10.782362719103816,10.235560369399558,12.203108396983495,m1
1440,all,2569,0,43,10.782362719103816,10.235560369399558,12.203108396983495,m1
