pool,mae_pp,spearman,n_lots
89곳 전체 (a05 재현),20.372087977426474,0.7087955942214065,67
**노외 49곳만**,21.471809694989812,0.27035573122529644,45
**노외 + 60면 이하**,25.28359392923376,-0.2789473684210526,19
**노외 + 운영시간 외 구간만** ★,24.209236386796157,0.2828782108419091,42
