split,cut,horizon,model,전체,살아있는67,살아67_평일,살아67_주말,살아67_운영중,살아67_운영외,죽은22,n_test
A_80,2026-09-05 07:15,15,Persistence,1.0659095414007214,1.4159096893233467,,1.4159096893233467,2.055196392358815,1.27766835124217,0.0,32485
A_80,2026-09-05 07:15,15,ML_pid,3.662665320812364,4.831856219486667,,4.831856219486667,3.462370390018159,5.127998079860122,0.1019475839406246,32485
A_80,2026-09-05 07:15,15,ML_pid_intx,3.2886419963365277,4.00490966763856,,4.00490966763856,3.319088814177799,4.15321369463649,1.10728136100761,32485
A_80,2026-09-05 07:15,30,Persistence,1.7609424778913079,2.3391623960048715,,2.3391623960048715,3.356243782923607,2.1207288095525256,0.0,32218
A_80,2026-09-05 07:15,30,ML_pid,5.725550070879677,7.565111302238259,,7.565111302238259,5.534791877864629,8.001153057808436,0.12324995719672156,32218
A_80,2026-09-05 07:15,30,ML_pid_intx,5.440105528387389,7.178858657675397,,7.178858657675397,5.431895484733671,7.554045379381001,0.14481190737391322,32218
A_80,2026-09-05 07:15,60,Persistence,3.0206738479601505,4.01253690251423,,4.01253690251423,5.620579463316147,3.6720409975445905,0.0,31684
A_80,2026-09-05 07:15,60,ML_pid,8.254904333954006,10.898363415149655,,10.898363415149655,8.826057941387255,11.337164939973963,0.20436985940361507,31684
A_80,2026-09-05 07:15,60,ML_pid_intx,8.365852468734312,10.848289188717667,,10.848289188717667,8.998772156727942,11.2399162456844,0.8057042760577287,31684
A_80,2026-09-05 07:15,120,Persistence,5.197665188573161,6.904361220641961,,6.904361220641961,9.064628368495695,6.460557383990838,0.0,30616
A_80,2026-09-05 07:15,120,ML_pid,9.498572523370893,12.52169966218766,,12.52169966218766,11.838045004023346,12.662149217484178,0.29177623697437016,30616
A_80,2026-09-05 07:15,120,ML_pid_intx,6.878808090945064,8.441594365867587,,8.441594365867587,9.616104325888431,8.200303825963722,2.119413526408289,30616
B_70,2026-09-04 16:00,15,Persistence,1.132739327643065,1.5046835844810864,2.7163428617741774,1.2473400211621997,2.738871796556845,1.1933583451730267,0.0,48772
B_70,2026-09-04 16:00,15,ML_pid,2.894509503105713,3.8140332212529175,3.046246657917814,3.9771029338196646,3.662912976113272,3.8521534577144725,0.09414181602104638,48772
B_70,2026-09-04 16:00,15,ML_pid_intx,3.0719811613104566,3.936836364118813,3.0856130726869098,4.117627151679571,3.753549590020914,3.9830706404226346,0.43810395275773767,48772
B_70,2026-09-04 16:00,30,Persistence,1.8902541086449005,2.510934562229793,4.583944233020199,2.0677075502122455,4.50573814339156,2.0094136372014266,0.0,48505
B_70,2026-09-04 16:00,30,ML_pid,4.744448575608469,6.2598358274882475,4.333640986949212,6.671672586267195,5.690811079654312,6.4028964378624815,0.12940558124732787,48505
B_70,2026-09-04 16:00,30,ML_pid_intx,4.546640199557418,5.976950167150884,4.353638698006926,6.324027897747365,5.5502913431149485,6.084218035588035,0.19069620734095097,48505
B_70,2026-09-04 16:00,60,Persistence,3.2360466916957913,4.298629187476499,7.71668210517108,3.5579224603914423,7.5026503716353945,3.4985386291178258,0.0,47971
B_70,2026-09-04 16:00,60,ML_pid,6.868459307998711,9.050894794876955,5.895193464242039,9.734748807836212,8.880597783829574,9.093420428393165,0.22195123432405403,47971
B_70,2026-09-04 16:00,60,ML_pid_intx,7.228293926697975,9.268419146814578,5.7337775886114954,10.034391132339401,8.768425424660963,9.393274830763103,1.0151853017974108,47971
B_70,2026-09-04 16:00,120,Persistence,5.591359028379806,7.42732766456422,12.907475099607666,6.206691576944334,12.49597756232242,6.179351746491259,0.0,46903
B_70,2026-09-04 16:00,120,ML_pid,8.890640494314264,11.719876297561246,6.548569401165765,12.87172191717602,12.414814099425834,11.548772422016569,0.27433145715299767,46903
B_70,2026-09-04 16:00,120,ML_pid_intx,9.179160491042625,11.687380346124243,6.592188968247117,12.822272161150241,12.039326288931917,11.600726095002715,1.540490932384965,46903
