laeId,laeNm,pkplcId,pkplcNm,pkplcDivNm,pkplcTypeNm,latCrdn,lonCrdn,roadNmZip,roadNmAddr,lotnoAddr,pklotCnt,sbcmpctPklotCnt,pwdbsPrvusePklotCnt,femalePrfncPklotCnt,olmanPrfncPklotCnt,evPklotCnt,lndlvDivNm,wkdayOprtStartTime,wkdayOprtEndTime,satOprtStartTime,satOprtEndTime,hldyOprtStartTime,hldyOprtEndTime,parkingBscTime,parkingBscFare,addUnitTime,addUnitFare,ddPktckFareAplcnTime,ddPktckFare,mmCmmtktFare
31010,수원시,00052,광교 공영,,,37.30131454,127.03079061,16290,,경기 수원시 장안구 광교산로 159  (하광교동),360,,,,,,기타,00:00,23:59,00:00,23:59,00:00,23:59,70,100,10,100,,4000,
31200,파주시,00007,금촌로터리,공영,노외,37.75616946,126.77297805,10925,경기 파주시 한마음2길 18 (금촌동),경기 파주시 한마음2길 18 (금촌동),119,,3,,,0,2급지,09:00,22:00,00:00,00:00,00:00,00:00,90,500,10,200,,8000,80000
31040,안양시,00046,안양3동노상,공영,기타,37.40030173,126.91920691,14001,"경기 안양시 만안구 안양로 (안양동,만안구 가로판매대 2009-00046)","경기 안양시 만안구 안양로 (안양동,만안구 가로판매대 2009-00046)",27,,0,,,0,1급지,10:00,18:00,00:00,00:00,00:00,00:00,30,600,10,300,,25000,90000
31050,부천시,00025,야인시대,공영,노외,37.507283,126.745229,14545,경기 부천시 원미구 길주로,경기 부천시 원미구 길주로,394,,11,,,,3급지,00:00,23:59,00:00,23:59,00:00,23:59,,400,10,200,,4000,
31240,화성시,00030,남양리 구도심,공영,노외,37.2080701,126.8147681,18261,경기 화성시 만세구 남양시장로42번길 남양리 658-2,경기 화성시 만세구 남양시장로42번길 남양리 658-2,41,,1,,,,1급지,10:00,19:00,10:00,19:00,10:00,19:00,90,,10,300,,,60000
31050,부천시,00030,시청부설,공영,노외,37.50358247,126.76533704,14547,경기 부천시 길주로 210,경기 부천시 길주로 210,503,,21,,,,3급지,08:00,20:00,00:00,00:00,00:00,00:00,,,10,200,,6000,
31130,남양주시,00059,한강시민공원 도농지구(대형차),공영,노상,37.6103,127.1485,,,,100,,0,,,0,1급지,08:00,20:00,08:00,20:00,08:00,20:00,60,,10,200,,5000,30000
31130,남양주시,00055,화도 제02공영,공영,노상,37.65322957,127.30201585,,경기 남양주시 화도읍 마석우리 338-1 (송라초교 옆),경기 남양주시 화도읍 마석우리 338-1 (송라초교 옆),75,,3,,,6,1급지,08:00,20:00,08:00,20:00,08:00,20:00,30,600,10,300,,7000,70000
31040,안양시,00062,예술공원고가밑,공영,기타,37.40983645,126.91321602,13966,경기 안양시 만안구 예술공원로 6 (안양동),경기 안양시 만안구 예술공원로 6 (안양동),88,,0,,,0,1급지,09:00,19:00,09:00,19:00,09:00,19:00,30,600,10,300,,25000,70000
31050,부천시,00101,중동먹거리,공영,노상,37.49574218,126.77662125,14582,경기 부천시 부흥로307번길,경기 부천시 부흥로307번길,124,,0,,,,1급지,09:00,18:00,00:00,00:00,00:00,00:00,,900,10,400,,9500,
31020,성남시,00012,태평4동공영주차장,공영,노외,37.451229,127.138592,,,경기도 성남시 수정구 태평로 109번길,84,0,0,,,,1급지,00:00,23:59,00:00,23:59,00:00,23:59,30,400,10,200,,6000,
31040,안양시,00042,호현마을1노외,공영,노외,37.40655908,126.88317673,14013,경기 안양시 만안구 오리로33번길 7-26 (박달동),경기 안양시 만안구 오리로33번길 7-26 (박달동),64,,0,,,0,5급지,09:00,18:00,00:00,00:00,00:00,00:00,30,200,10,100,,5300,25000
31050,부천시,00059,종합운동장부설,공영,부설,37.50332845,126.79646086,14655,경기 부천시 소사로 482,경기 부천시 소사로 482,2000,,0,,,,3급지,00:00,23:59,00:00,23:59,00:00,23:59,,400,10,200,,6000,
31240,화성시,00048,다은,공영,노외,37.2008947,127.0730545,18455,"경기 화성시 동탄중심상가1길 21 (반송동,동탄지하주차장25호)","경기 화성시 동탄중심상가1길 21 (반송동,동탄지하주차장25호)",52,,3,,,,1급지,10:00,23:00,10:00,23:00,10:00,23:00,90,,10,400,,,100000
