prk_center_id,name,cells,la,lo,klass,confidence,b_sig,p_sig,std_match
30076-29391-00066-00-1,,3,37.401443556,126.9139793611,부설,0.9,False,False,False
30076-29391-00067-00-1,,7,37.4012885806,126.9139795383,부설,0.9,False,False,False
30076-29391-00068-00-1,,4,37.4012852225,126.9143183654,부설,0.9,False,False,False
30076-29391-00069-00-1,,8,37.4014586815,126.9149596746,부설,0.9,False,False,False
30076-29391-00070-00-1,안양3동 개나리놀이터 지하주차장,58,37.4014121492,126.9154069746,비부설,0.9,False,False,True
30076-29391-00071-00-1,,4,37.4013078471,126.9157097741,부설,0.9,False,False,False
30077-29391-00006-00-1,,1,37.3918118164,126.9070747274,부설,0.9,False,False,False
30077-29391-00007-00-1,다가구주택,1,37.3920166434,126.9063065698,부설,0.9,True,False,False
30077-29391-00008-00-1,다가구주택,1,37.3919837831,126.9057735948,부설,0.9,True,False,False
30077-29391-00009-00-1,다가구주택,2,37.3916232268,126.9055888465,부설,0.9,True,False,False
30077-29391-00010-00-1,,5,37.3924031416,126.9073992293,부설,0.9,False,False,False
30077-29391-00011-00-1,양지하우스,9,37.3918050823,126.9076800236,부설,0.9,True,False,False
30077-29391-00012-00-1,다가구주택,1,37.3917399049,126.9072916355,부설,0.9,True,False,False
30077-29391-00013-00-1,,1,37.3921121455,126.9086011338,부설,0.9,False,False,False
30077-29391-00014-00-1,다가구주택,1,37.3919240101,126.9076708436,부설,0.9,True,False,False
30077-29391-00015-00-1,,3,37.3925087518,126.9088039225,부설,0.9,False,False,False
30077-29391-00016-00-1,,1,37.3926598966,126.9085101263,부설,0.9,False,False,False
30077-29391-00017-00-1,,3,37.3921630447,126.9091747432,부설,0.9,False,False,False
30077-29391-00018-00-1,다가구주택,1,37.3909691948,126.9080153084,부설,0.9,True,False,False
30077-29391-00019-00-1,다가구주택,3,37.3904325679,126.9085083161,부설,0.9,True,False,False
30077-29391-00020-00-1,,3,37.390248714,126.9084498188,부설,0.9,False,False,False
30077-29391-00021-00-1,,3,37.3912975975,126.9085705035,부설,0.9,False,False,False
30077-29391-00022-00-1,,3,37.3910058061,126.9087515389,부설,0.9,False,False,False
30077-29391-00023-00-1,지니어스빌,8,37.3910060358,126.9090496623,부설,0.9,True,False,False
30078-29391-00001-00-1,,4,37.3978542379,126.9144623119,부설,0.9,False,False,False
30078-29391-00002-00-1,,4,37.3978471473,126.9146249477,부설,0.9,False,False,False
30078-29391-00018-00-1,,6,37.3972411702,126.913948025,부설,0.9,False,False,False
30078-29392-00019-00-1,,1,37.3965528001,126.9139623641,부설,0.9,False,False,False
