pid,lat,lon,zone_commercial_ratio,zone_residential_ratio,zone_industrial_ratio,zone_green_ratio,zone_other_ratio,zone_covered,zone_truncated,land_price,land_price_500m_mean,land_price_n,cad_truncated,daynight_axis
auc:3,37.409836452588,126.913216024084,0.0,0.7248424141779338,0.0,0.2751575858220662,0.0,0.9999960999343744,0,,2032101.3078470824,994,1,0.0
auc:6,37.3848503646705,126.935892251267,0.1746825341966499,0.1854810241647418,0.434871933135429,0.2049645085031791,0.0,1.004683029564682,0,2484000.0,2218762.4248496993,998,1,0.48500890815103426
auc:7,37.4050865997381,126.917831990321,0.1133397011432504,0.7086888053150792,0.0,0.1779714935416703,0.0,1.00000000396321,0,,2387005.8058058056,999,1,0.1378780665789427
auc:8,37.39710579,126.91863672,0.254344072730662,0.732625855283766,0.0,0.0130300719855719,0.0,1.00022546152201,0,2233000.0,2888269.517102616,994,1,0.25770194765948723
auc:9,37.4190651731135,126.919769820111,0.0496539837293723,0.3179471812784954,0.0,0.6323988349921321,0.0,1.000000076230369,0,1460000.0,1351676.5060240964,830,0,0.13507569740239958
auc:10,37.4006917055608,126.978497537813,0.1470015083967793,0.4110347989321942,0.0082240231314915,0.298337583471336,0.1354020860681989,1.1981827077811746,0,577800.0,2827790.6474820143,973,1,0.2634264230949385
auc:11,37.39895102666899,126.92476379583664,0.4523734784268972,0.3860015307186856,0.0,0.1616249908544172,0.0,1.0053819171498006,0,,4059908.116232465,998,1,0.5395836868848545
auc:12,37.4193641,126.90783776,0.0,0.4965710304589138,0.0,0.5034289695410862,0.0,1.000001335554751,0,1755000.0,1463796.448979592,980,1,0.0
auc:13,37.41870345832494,126.90853889122072,0.0,0.5532908244737368,0.0,0.4467091755262632,0.0,1.000006171271806,0,1306000.0,1480706.897253306,983,1,0.0
auc:14,37.3687706012708,126.955561733382,0.1305625598190105,0.4037139611893524,0.193777776598474,0.0624925278373899,0.2094531745557729,1.263218666038768,0,2284000.0,2502911.649484536,970,1,0.2443726323076938
auc:15,37.411929981134215,126.8924027417179,0.0,0.0472147709268773,0.0828446666167689,0.8699405624563538,0.0,1.0001313060468784,0,302800.0,694116.8587896253,694,0,0.0
auc:16,37.3922925654026,126.958038131494,0.5178487623539476,0.2568686066330559,0.0,0.2252826310129964,0.0,1.0000006711231373,0,6826000.0,7225450.38167939,262,0,0.6684357200240272
auc:17,37.41193131613679,126.90444396068584,0.0,0.3624735979552871,0.0,0.6375264020447129,0.0,1.0000823832639238,0,,1721456.6030150754,995,1,0.0
auc:18,37.4015111148492,126.915327917353,0.1320436050488054,0.8450563198027025,0.0,0.022900075148492,0.0,1.025347273545791,0,,2579350.0,1000,1,0.13513828185881027
auc:19,37.3952498535075,126.922048995703,0.3999960197484328,0.5297413528104356,0.0,0.0702626274411316,0.0,0.9999999480290364,0,2526000.0,3112006.206206206,999,1,0.43022474039904873
