split,horizon,model,살아67,평일,주말,운영중,운영외
A_80,15,Persistence,1.4159096893233467,,1.4159096893233467,2.055196392358815,1.27766835124217
A_80,15,LVL_pid,2.075305890854204,,2.075305890854204,2.4625569391669555,1.9915655239141403
A_80,15,DLT_pid,2.2881772074583426,,2.2881772074583426,2.6486835741425203,2.210220193366593
A_80,15,LVL_pid_intx,2.9819235778992517,,2.9819235778992517,3.039885161177827,2.969389785483912
A_80,15,DLT_pid_intx,1.947163517262107,,1.947163517262107,2.3098053149760216,1.8687447309458933
A_80,30,Persistence,2.3391623960048715,,2.3391623960048715,3.356243782923607,2.1207288095525256
A_80,30,LVL_pid,6.827102885299613,,6.827102885299613,5.882009003526495,7.030076067962296
A_80,30,DLT_pid,4.2548254302083475,,4.2548254302083475,3.9705937324229823,4.315868479397151
A_80,30,LVL_pid_intx,7.7093629306118,,7.7093629306118,6.6492472869206996,7.93703877355217
A_80,30,DLT_pid_intx,5.623839715271341,,5.623839715271341,5.7980567441888695,5.58642397751724
A_80,60,Persistence,4.01253690251423,,4.01253690251423,5.620579463316147,3.6720409975445905
A_80,60,LVL_pid,10.400385279782624,,10.400385279782624,9.754203431811574,10.537211430074402
A_80,60,DLT_pid,9.018993277780602,,9.018993277780602,7.365902072285359,9.36902803415655
A_80,60,LVL_pid_intx,10.526899160410705,,10.526899160410705,9.728814155761352,10.695890132742473
A_80,60,DLT_pid_intx,7.182578599344748,,7.182578599344748,7.6608920721170435,7.081297835551061
A_80,120,Persistence,6.904361220641961,,6.904361220641961,9.064628368495695,6.460557383990838
A_80,120,LVL_pid,12.125902839049166,,12.125902839049166,13.054975808918746,11.935034710092697
A_80,120,DLT_pid,10.75088067757334,,10.75088067757334,9.727227228318426,10.96117935689726
A_80,120,LVL_pid_intx,11.886666103066094,,11.886666103066094,13.964229326595596,11.459852905261497
A_80,120,DLT_pid_intx,8.931134048694103,,8.931134048694103,10.480101865242185,8.612915137428368
B_70,15,Persistence,1.5046835844810864,2.7163428617741774,1.2473400211621997,2.738871796556845,1.1933583451730267
B_70,15,LVL_pid,2.360103416219312,3.0329031348970132,2.217207900747942,3.13933990863059,2.1635402136997413
B_70,15,DLT_pid,1.7211316392883533,2.639015629020725,1.5261828273097968,2.8440336465661824,1.437878459007766
B_70,15,LVL_pid_intx,2.6941314350622227,3.0863112795136796,2.6108366008424446,3.2070511015872927,2.56474692436579
B_70,15,DLT_pid_intx,2.0019700595555614,2.584884556639168,1.8781652106174502,2.9225607343153137,1.7697501199060683
B_70,30,Persistence,2.510934562229793,4.583944233020199,2.0677075502122455,4.50573814339156,2.0094136372014266
B_70,30,LVL_pid,5.551297591500952,4.1112117052625505,5.859200141788005,5.71653714718141,5.509754105416034
B_70,30,DLT_pid,3.8676880182913265,4.1223987591352405,3.8132287062177945,4.789052631417335,3.636044342980575
B_70,30,LVL_pid_intx,5.535151389598959,4.396831431197249,5.778533830593535,5.943210767115623,5.4325596766046065
B_70,30,DLT_pid_intx,4.479628048697639,4.035666392671999,4.574550808115148,4.795110800087875,4.4003113666935
B_70,60,Persistence,4.298629187476499,7.71668210517108,3.5579224603914423,7.5026503716353945,3.4985386291178258
B_70,60,LVL_pid,8.501588373380393,5.978670826773983,9.048315426369593,9.018100878864022,8.372607709658556
B_70,60,DLT_pid,6.639662357839377,5.71543786943606,6.839945768418878,7.35137860301262,6.461936489231213
B_70,60,LVL_pid_intx,8.470256651003782,6.113393896726662,8.98099891829634,8.918809628704874,8.35824646700229
B_70,60,DLT_pid_intx,6.467806058483147,5.543292928484041,6.668152018934421,7.576834721600001,6.190865516798847
B_70,120,Persistence,7.42732766456422,12.907475099607666,6.206691576944334,12.49597756232242,6.179351746491259
B_70,120,LVL_pid,10.313019796681472,7.008196946601092,11.049128830574084,11.467418814756316,10.028789833384606
B_70,120,DLT_pid,9.418001127076119,6.867224266518537,9.986155601817483,9.582260157374671,9.377558145557652
B_70,120,LVL_pid_intx,10.35103330602727,6.832181893093066,11.134814595219114,11.577979646909675,10.048941128213567
B_70,120,DLT_pid_intx,9.529691723012045,6.532009020412103,10.19738903031969,9.783181280936754,9.467278877352117
