horizon,access_group,weekday_group,n,n_lots,n_days,persistence_mae,ml_mae,persistence_rmse,ml_rmse,gain_pp,gain_pct,status,fold,test_date
30,closed,all,0,0,0,,,,,,,unavailable,2,2026-09-13
30,closed,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
30,closed,weekend,0,0,0,,,,,,,unavailable,2,2026-09-13
30,unknown,all,0,0,0,,,,,,,unavailable,2,2026-09-13
30,unknown,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
30,unknown,weekend,0,0,0,,,,,,,unavailable,2,2026-09-13
30,all,all,10145,66,1,3.9654313319610264,3.431104407752633,7.540974787241019,6.828682919986402,0.5343269242083935,13.474623047983851,better,3,2026-09-14
30,all,weekday,10145,66,1,3.9654313319610264,3.431104407752633,7.540974787241019,6.828682919986402,0.5343269242083935,13.474623047983851,better,3,2026-09-14
30,all,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
30,accessible,all,10145,66,1,3.9654313319610264,3.431104407752633,7.540974787241019,6.828682919986402,0.5343269242083935,13.474623047983851,better,3,2026-09-14
30,accessible,weekday,10145,66,1,3.9654313319610264,3.431104407752633,7.540974787241019,6.828682919986402,0.5343269242083935,13.474623047983851,better,3,2026-09-14
30,accessible,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
30,closed,all,0,0,0,,,,,,,unavailable,3,2026-09-14
30,closed,weekday,0,0,0,,,,,,,unavailable,3,2026-09-14
30,closed,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
30,unknown,all,0,0,0,,,,,,,unavailable,3,2026-09-14
30,unknown,weekday,0,0,0,,,,,,,unavailable,3,2026-09-14
30,unknown,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
60,all,all,5461,51,1,5.375933823295663,4.411718799301552,9.257644619137674,7.642895900450418,0.964215023994111,17.93576810443341,better,1,2026-09-12
60,all,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
60,all,weekend,5461,51,1,5.375933823295663,4.411718799301552,9.257644619137674,7.642895900450418,0.964215023994111,17.93576810443341,better,1,2026-09-12
60,accessible,all,5461,51,1,5.375933823295663,4.411718799301552,9.257644619137674,7.642895900450418,0.964215023994111,17.93576810443341,better,1,2026-09-12
60,accessible,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
60,accessible,weekend,5461,51,1,5.375933823295663,4.411718799301552,9.257644619137674,7.642895900450418,0.964215023994111,17.93576810443341,better,1,2026-09-12
60,closed,all,0,0,0,,,,,,,unavailable,1,2026-09-12
60,closed,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
60,closed,weekend,0,0,0,,,,,,,unavailable,1,2026-09-12
60,unknown,all,0,0,0,,,,,,,unavailable,1,2026-09-12
60,unknown,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
60,unknown,weekend,0,0,0,,,,,,,unavailable,1,2026-09-12
60,all,all,11046,46,1,4.616797134270654,3.798814733187322,9.045917659773218,7.596638042299488,0.8179824010833321,17.71752964866961,better,2,2026-09-13
60,all,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
60,all,weekend,11046,46,1,4.616797134270654,3.798814733187322,9.045917659773218,7.596638042299488,0.8179824010833321,17.71752964866961,better,2,2026-09-13
60,accessible,all,11046,46,1,4.616797134270654,3.798814733187322,9.045917659773218,7.596638042299488,0.8179824010833321,17.71752964866961,better,2,2026-09-13
60,accessible,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
60,accessible,weekend,11046,46,1,4.616797134270654,3.798814733187322,9.045917659773218,7.596638042299488,0.8179824010833321,17.71752964866961,better,2,2026-09-13
60,closed,all,0,0,0,,,,,,,unavailable,2,2026-09-13
60,closed,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
60,closed,weekend,0,0,0,,,,,,,unavailable,2,2026-09-13
60,unknown,all,0,0,0,,,,,,,unavailable,2,2026-09-13
60,unknown,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
60,unknown,weekend,0,0,0,,,,,,,unavailable,2,2026-09-13
60,all,all,9359,66,1,6.082318523589842,4.44642005282942,10.645976171165495,8.180698677652215,1.6358984707604218,26.895968443870633,better,3,2026-09-14
60,all,weekday,9359,66,1,6.082318523589842,4.44642005282942,10.645976171165495,8.180698677652215,1.6358984707604218,26.895968443870633,better,3,2026-09-14
60,all,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
60,accessible,all,9359,66,1,6.082318523589842,4.44642005282942,10.645976171165495,8.180698677652215,1.6358984707604218,26.895968443870633,better,3,2026-09-14
60,accessible,weekday,9359,66,1,6.082318523589842,4.44642005282942,10.645976171165495,8.180698677652215,1.6358984707604218,26.895968443870633,better,3,2026-09-14
60,accessible,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
60,closed,all,0,0,0,,,,,,,unavailable,3,2026-09-14
60,closed,weekday,0,0,0,,,,,,,unavailable,3,2026-09-14
60,closed,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
60,unknown,all,0,0,0,,,,,,,unavailable,3,2026-09-14
60,unknown,weekday,0,0,0,,,,,,,unavailable,3,2026-09-14
60,unknown,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
120,all,all,2507,51,1,8.85228955825454,6.790246760629747,14.251461271484231,10.899324871823064,2.062042797624793,23.29389232079501,better,1,2026-09-12
120,all,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
120,all,weekend,2507,51,1,8.85228955825454,6.790246760629747,14.251461271484231,10.899324871823064,2.062042797624793,23.29389232079501,better,1,2026-09-12
120,accessible,all,2507,51,1,8.85228955825454,6.790246760629747,14.251461271484231,10.899324871823064,2.062042797624793,23.29389232079501,better,1,2026-09-12
120,accessible,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
120,accessible,weekend,2507,51,1,8.85228955825454,6.790246760629747,14.251461271484231,10.899324871823064,2.062042797624793,23.29389232079501,better,1,2026-09-12
120,closed,all,0,0,0,,,,,,,unavailable,1,2026-09-12
120,closed,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
120,closed,weekend,0,0,0,,,,,,,unavailable,1,2026-09-12
120,unknown,all,0,0,0,,,,,,,unavailable,1,2026-09-12
120,unknown,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
120,unknown,weekend,0,0,0,,,,,,,unavailable,1,2026-09-12
120,all,all,9990,46,1,7.634879490879018,5.389542827260504,13.525438413684567,9.651225086326104,2.245336663618514,29.40893391049456,better,2,2026-09-13
120,all,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
120,all,weekend,9990,46,1,7.634879490879018,5.389542827260504,13.525438413684567,9.651225086326104,2.245336663618514,29.40893391049456,better,2,2026-09-13
120,accessible,all,9990,46,1,7.634879490879018,5.389542827260504,13.525438413684567,9.651225086326104,2.245336663618514,29.40893391049456,better,2,2026-09-13
120,accessible,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
120,accessible,weekend,9990,46,1,7.634879490879018,5.389542827260504,13.525438413684567,9.651225086326104,2.245336663618514,29.40893391049456,better,2,2026-09-13
