model,n_features,n_eval,n_obs,mae_pp,spearman,ci_lo,ci_hi
A08 reference (Level + global Shape),11,67,66129,19.98920563339698,0.7533322691356055,0.626491634925338,0.8413015632028944
Row BASE + TIME,14,67,66129,20.91574455064457,0.7386862479048608,0.6060067373361261,0.8313764293883069
+ HOUSEHOLDS × TIME,18,67,66129,21.02277967121476,0.7400830074227792,0.6079527761266942,0.8323255257763367
+ FOOD/EDU × TIME,20,67,66129,20.795453441284348,0.7198499481203608,0.579917228646922,0.8185241509836818
+ ALL interactions,24,67,66129,21.00356119951437,0.7188522627504191,0.5785433267494109,0.8178406502359087
