horizon,n,brier,brier_persistence,reliability_slope,unique_prob
15,113163,0.0074889749309467275,0.008987036398822937,0.9538380106471784,14531
30,111957,0.01220689390187392,0.016836821279598416,0.9461510057946376,18472
60,109545,0.01857094913639912,0.03132959057921402,0.9148759009631133,21825
120,104721,0.026784507362196366,0.058078131415857374,0.9385129416563529,26691
