axis,n,changed,top1_changed,a_fail,b_fail,c_fail,rescued,harmed,a_flagged,extra_walk,extra_fare,changed_rate,top1_changed_rate,a_fail_rate,b_fail_rate,c_fail_rate,harmed_rate,rescue_rate,ai_gain_pp
fare,1686,1333,465,450,11,28,439,0,440,2.756820877817319,0.0,0.7906287069988137,0.27580071174377224,0.2669039145907473,0.006524317912218268,0.0166073546856465,0.0,0.9755555555555555,1.0083036773428233
walk,1686,1446,414,409,14,27,395,0,396,2.6981020166073546,0.0,0.8576512455516014,0.24555160142348753,0.24258600237247924,0.00830367734282325,0.01601423487544484,0.0,0.9657701711491442,0.7710557532621589
