horizon,access_group,weekday_group,n,n_lots,n_days,persistence_mae,ml_mae,persistence_rmse,ml_rmse,gain_pp,gain_pct,status,fold,test_date
15,accessible,all,8295,66,1,2.3383722466787957,2.1943198481467956,4.952269208715719,4.773941592229708,0.14405239853200014,6.160370691047956,better,6,2026-09-17
15,accessible,weekday,8295,66,1,2.3383722466787957,2.1943198481467956,4.952269208715719,4.773941592229708,0.14405239853200014,6.160370691047956,better,6,2026-09-17
15,accessible,weekend,0,0,0,,,,,,,unavailable,6,2026-09-17
15,closed,all,0,0,0,,,,,,,unavailable,6,2026-09-17
15,closed,weekday,0,0,0,,,,,,,unavailable,6,2026-09-17
15,closed,weekend,0,0,0,,,,,,,unavailable,6,2026-09-17
15,unknown,all,0,0,0,,,,,,,unavailable,6,2026-09-17
15,unknown,weekday,0,0,0,,,,,,,unavailable,6,2026-09-17
15,unknown,weekend,0,0,0,,,,,,,unavailable,6,2026-09-17
15,all,all,11672,66,1,2.692277875945244,2.604455454837007,5.472557313271931,5.379515197087249,0.08782242110823724,3.2620117667981527,better,7,2026-09-18
15,all,weekday,11672,66,1,2.692277875945244,2.604455454837007,5.472557313271931,5.379515197087249,0.08782242110823724,3.2620117667981527,better,7,2026-09-18
15,all,weekend,0,0,0,,,,,,,unavailable,7,2026-09-18
15,accessible,all,11672,66,1,2.692277875945244,2.604455454837007,5.472557313271931,5.379515197087249,0.08782242110823724,3.2620117667981527,better,7,2026-09-18
15,accessible,weekday,11672,66,1,2.692277875945244,2.604455454837007,5.472557313271931,5.379515197087249,0.08782242110823724,3.2620117667981527,better,7,2026-09-18
15,accessible,weekend,0,0,0,,,,,,,unavailable,7,2026-09-18
15,closed,all,0,0,0,,,,,,,unavailable,7,2026-09-18
15,closed,weekday,0,0,0,,,,,,,unavailable,7,2026-09-18
15,closed,weekend,0,0,0,,,,,,,unavailable,7,2026-09-18
15,unknown,all,0,0,0,,,,,,,unavailable,7,2026-09-18
15,unknown,weekday,0,0,0,,,,,,,unavailable,7,2026-09-18
15,unknown,weekend,0,0,0,,,,,,,unavailable,7,2026-09-18
30,all,all,7399,51,1,3.175156953951178,2.841410635959028,5.872901605174655,5.337372675565558,0.33374631799215004,10.511175442109556,better,1,2026-09-12
30,all,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
30,all,weekend,7399,51,1,3.175156953951178,2.841410635959028,5.872901605174655,5.337372675565558,0.33374631799215004,10.511175442109556,better,1,2026-09-12
30,accessible,all,7399,51,1,3.175156953951178,2.841410635959028,5.872901605174655,5.337372675565558,0.33374631799215004,10.511175442109556,better,1,2026-09-12
30,accessible,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
30,accessible,weekend,7399,51,1,3.175156953951178,2.841410635959028,5.872901605174655,5.337372675565558,0.33374631799215004,10.511175442109556,better,1,2026-09-12
30,closed,all,0,0,0,,,,,,,unavailable,1,2026-09-12
30,closed,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
30,closed,weekend,0,0,0,,,,,,,unavailable,1,2026-09-12
30,unknown,all,0,0,0,,,,,,,unavailable,1,2026-09-12
30,unknown,weekday,0,0,0,,,,,,,unavailable,1,2026-09-12
30,unknown,weekend,0,0,0,,,,,,,unavailable,1,2026-09-12
30,all,all,11574,46,1,2.7524453356189595,2.4668887697196054,5.83514691159071,5.306297279629451,0.2855565658993542,10.37464985058965,better,2,2026-09-13
30,all,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
30,all,weekend,11574,46,1,2.7524453356189595,2.4668887697196054,5.83514691159071,5.306297279629451,0.2855565658993542,10.37464985058965,better,2,2026-09-13
30,accessible,all,11574,46,1,2.7524453356189595,2.4668887697196054,5.83514691159071,5.306297279629451,0.2855565658993542,10.37464985058965,better,2,2026-09-13
30,accessible,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
30,accessible,weekend,11574,46,1,2.7524453356189595,2.4668887697196054,5.83514691159071,5.306297279629451,0.2855565658993542,10.37464985058965,better,2,2026-09-13
30,closed,all,0,0,0,,,,,,,unavailable,2,2026-09-13
30,closed,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
30,closed,weekend,0,0,0,,,,,,,unavailable,2,2026-09-13
30,unknown,all,0,0,0,,,,,,,unavailable,2,2026-09-13
30,unknown,weekday,0,0,0,,,,,,,unavailable,2,2026-09-13
30,unknown,weekend,0,0,0,,,,,,,unavailable,2,2026-09-13
30,all,all,10145,66,1,3.9654313319610264,3.431104407752633,7.540974787241019,6.828682919986402,0.5343269242083935,13.474623047983851,better,3,2026-09-14
30,all,weekday,10145,66,1,3.9654313319610264,3.431104407752633,7.540974787241019,6.828682919986402,0.5343269242083935,13.474623047983851,better,3,2026-09-14
30,all,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
30,accessible,all,10145,66,1,3.9654313319610264,3.431104407752633,7.540974787241019,6.828682919986402,0.5343269242083935,13.474623047983851,better,3,2026-09-14
30,accessible,weekday,10145,66,1,3.9654313319610264,3.431104407752633,7.540974787241019,6.828682919986402,0.5343269242083935,13.474623047983851,better,3,2026-09-14
30,accessible,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
30,closed,all,0,0,0,,,,,,,unavailable,3,2026-09-14
30,closed,weekday,0,0,0,,,,,,,unavailable,3,2026-09-14
30,closed,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
30,unknown,all,0,0,0,,,,,,,unavailable,3,2026-09-14
30,unknown,weekday,0,0,0,,,,,,,unavailable,3,2026-09-14
30,unknown,weekend,0,0,0,,,,,,,unavailable,3,2026-09-14
30,all,all,8255,66,1,4.801998115527953,4.442302602962673,9.09663106456833,8.628487439816,0.35969551256527943,7.490538394885083,better,4,2026-09-15
30,all,weekday,8255,66,1,4.801998115527953,4.442302602962673,9.09663106456833,8.628487439816,0.35969551256527943,7.490538394885083,better,4,2026-09-15
30,all,weekend,0,0,0,,,,,,,unavailable,4,2026-09-15
30,accessible,all,8255,66,1,4.801998115527953,4.442302602962673,9.09663106456833,8.628487439816,0.35969551256527943,7.490538394885083,better,4,2026-09-15
30,accessible,weekday,8255,66,1,4.801998115527953,4.442302602962673,9.09663106456833,8.628487439816,0.35969551256527943,7.490538394885083,better,4,2026-09-15
30,accessible,weekend,0,0,0,,,,,,,unavailable,4,2026-09-15
30,closed,all,0,0,0,,,,,,,unavailable,4,2026-09-15
30,closed,weekday,0,0,0,,,,,,,unavailable,4,2026-09-15
30,closed,weekend,0,0,0,,,,,,,unavailable,4,2026-09-15
30,unknown,all,0,0,0,,,,,,,unavailable,4,2026-09-15
30,unknown,weekday,0,0,0,,,,,,,unavailable,4,2026-09-15
30,unknown,weekend,0,0,0,,,,,,,unavailable,4,2026-09-15
30,all,all,11526,66,1,4.51558931407523,4.056568879272969,8.460968256404902,7.863832819861221,0.4590204348022615,10.165238751262892,better,5,2026-09-16
30,all,weekday,11526,66,1,4.51558931407523,4.056568879272969,8.460968256404902,7.863832819861221,0.4590204348022615,10.165238751262892,better,5,2026-09-16
30,all,weekend,0,0,0,,,,,,,unavailable,5,2026-09-16
