feature_set,n_features,n_eval,n_obs,mae_pp,spearman,ci_lo,ci_hi
BASE 9,9,67,66129,20.36742961307165,0.7103519833985155,0.5668698834477476,0.812005874355375
BASE + 상가 총수,10,67,66129,20.325364059111312,0.7338574507143428,0.5992912171610545,0.8280910961676563
BASE + 대분류,19,67,66129,20.255535720191766,0.7336978210551521,0.5990695394223804,0.8279823794713014
BASE + 총수 + 대분류,20,67,66129,20.256257760706692,0.7345757841807008,0.6002890224376431,0.8285802336012476
