horizon,weekday_group,n_a20_total,n_kept_in_a22,n_dropped_by_label_valid,persistence_mae_kept,persistence_mae_dropped
15,weekday,13970,10541,3429,2.5889473408760693,1.9838557390553178
15,weekend,30188,20207,9981,1.7854686336409844,0.12080793173986651
30,weekday,13559,10145,3414,3.9654313319610264,4.097446200662517
30,weekend,28367,18973,9394,2.9172923953375114,0.22832744908711156
60,weekday,12737,9359,3378,6.082318523589842,8.575968429116397
60,weekend,24726,16507,8219,4.867941827962153,0.4705138992382555
120,weekday,11093,7805,3288,9.532558982731528,16.904816745320407
120,weekend,18893,12497,6396,7.87910186736221,0.7001675831102335
