horizon_min,model,MAE,MedianAE,P90AE,train_rows,test_rows,spatial_test_coverage_pct
15,Persistence,1.3620649348636344,0.0,3.278688524590163,10324,4361,82.45815180004587
15,ML_lag_motion_time,1.8834386289142233,0.533299017443781,4.802665123170584,10324,4361,82.45815180004587
15,ML_time_GITS500,2.0591230704142807,0.5610491060969736,5.437568901497649,10324,4361,82.45815180004587
30,Persistence,2.526222972340417,0.0,6.521739130434785,10057,4094,82.4132877381534
30,ML_lag_motion_time,3.291033160050291,0.8214762478244779,8.895158681700472,10057,4094,82.4132877381534
30,ML_time_GITS500,3.3942851461396213,1.0330130387694112,8.789991054016838,10057,4094,82.4132877381534
60,Persistence,4.897020321325064,0.0,12.753105811794947,9523,3560,82.30337078651685
60,ML_lag_motion_time,5.804969143110051,1.6685623767100246,15.233847494250613,9523,3560,82.30337078651685
60,ML_time_GITS500,6.734210549143481,2.3146026207864523,16.656774152850016,9523,3560,82.30337078651685
120,Persistence,8.60921152734719,2.173913043478258,27.835051546391753,8455,2492,81.9422150882825
120,ML_lag_motion_time,9.675173952541131,3.9299539856490533,27.2357639007624,8455,2492,81.9422150882825
120,ML_time_GITS500,11.031516105363687,5.998946676047653,30.952562589621976,8455,2492,81.9422150882825
